"thumbborder src","tablescraper-selected-row","tablescraper-selected-row href","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11"
"https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bosnia_and_Herzegovina.svg/23px-Flag_of_Bosnia_and_Herzegovina.svg.png","Bosnia and Herzegovina","https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina","17,164","18,629","17,207","18,155","18,522","16,210","16,910","18,081","20,184","20,203"
"https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_Botswana.svg/23px-Flag_of_Botswana.svg.png","Botswana","https://en.wikipedia.org/wiki/Botswana","12,637","15,111","13,907","14,272","15,470","13,531","15,083","16,105","17,032","16,696"
"https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/22px-Flag_of_Brazil.svg.png","Brazil","https://en.wikipedia.org/wiki/Brazil","2,208,704","2,614,027","2,464,054","2,471,718","2,456,054","1,800,045","1,796,622","2,063,519","1,916,934","1,873,286"
"https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Brunei.svg/23px-Flag_of_Brunei.svg.png","Brunei","https://en.wikipedia.org/wiki/Brunei","13,707","18,525","19,048","18,094","17,098","12,930","11,400","12,128","13,567","13,469"
"https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/23px-Flag_of_Bulgaria.svg.png","Bulgaria","https://en.wikipedia.org/wiki/Bulgaria","50,683","57,680","54,299","55,812","57,082","50,782","53,949","59,322","66,428","68,919"
"https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Burkina_Faso.svg/23px-Flag_of_Burkina_Faso.svg.png","Burkina Faso","https://en.wikipedia.org/wiki/Burkina_Faso","10,118","12,078","12,569","13,444","13,947","11,833","12,830","14,102","16,067","15,991"
"https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Flag_of_Burundi.svg/23px-Flag_of_Burundi.svg.png","Burundi","https://en.wikipedia.org/wiki/Burundi","2,032","2,236","2,333","2,456","2,706","3,104","2,960","3,172","3,037","3,012"
"https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Cape_Verde.svg/23px-Flag_of_Cape_Verde.svg.png","Cape Verde","https://en.wikipedia.org/wiki/Cape_Verde","1,664","1,866","1,742","1,850","1,860","1,597","1,663","1,770","2,155","2,172"
"https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_Cambodia.svg/23px-Flag_of_Cambodia.svg.png","Cambodia","https://en.wikipedia.org/wiki/Cambodia","11,232","12,817","14,056","15,227","16,702","18,082","20,043","22,206","24,598","27,087"
"https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Cameroon.svg/23px-Flag_of_Cameroon.svg.png","Cameroon","https://en.wikipedia.org/wiki/Cameroon","27,530","30,626","30,174","33,729","36,396","32,213","33,805","36,086","39,992","39,673"
"https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/23px-Flag_of_Canada_%28Pantone%29.svg.png","Canada","https://en.wikipedia.org/wiki/Canada","1,617,345","1,793,327","1,828,362","1,846,595","1,805,751","1,556,508","1,527,996","1,649,266","1,725,300","1,742,015"
"https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Central_African_Republic.svg/23px-Flag_of_the_Central_African_Republic.svg.png","Central African Republic","https://en.wikipedia.org/wiki/Central_African_Republic","2,141","2,435","2,512","1,692","1,896","1,696","1,825","2,072","2,279","2,278"
"https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Flag_of_Chad.svg/23px-Flag_of_Chad.svg.png","Chad","https://en.wikipedia.org/wiki/Chad","10,701","12,183","12,411","12,994","14,003","10,952","10,202","10,079","11,042","10,993"
"https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/23px-Flag_of_Chile.svg.png","Chile","https://en.wikipedia.org/wiki/Chile","216,899","251,084","267,122","277,269","259,398","242,508","249,209","276,182","295,145","278,347"
"https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png","China","https://en.wikipedia.org/wiki/China","6,033,830","7,492,212","8,539,584","9,624,928","10,524,241","11,113,508","11,226,897","12,265,327","13,841,812","14,340,600"
"https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/23px-Flag_of_Colombia.svg.png","Colombia","https://en.wikipedia.org/wiki/Colombia","286,499","334,966","370,691","382,094","381,241","293,493","282,720","311,890","334,124","323,055"
"https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Flag_of_the_Comoros.svg/23px-Flag_of_the_Comoros.svg.png","Comoros","https://en.wikipedia.org/wiki/Comoros","909","1,023","1,016","1,116","1,150","966","1,013","1,077","1,179","1,188"
"https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg/20px-Flag_of_the_Democratic_Republic_of_the_Congo.svg.png","","","21,541","25,853","29,350","32,695","35,911","37,915","36,640","37,981","47,146","50,399"
"https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_the_Republic_of_the_Congo.svg/23px-Flag_of_the_Republic_of_the_Congo.svg.png","Republic of the Congo","https://en.wikipedia.org/wiki/Republic_of_the_Congo","13,159","15,653","17,704","17,959","17,918","11,891","10,159","11,110","13,649","12,791"
"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Flag_of_Costa_Rica.svg/23px-Flag_of_Costa_Rica.svg.png","Costa Rica","https://en.wikipedia.org/wiki/Costa_Rica","37,656","42,762","47,231","50,949","52,017","56,442","58,847","60,517","62,422","64,412"
"https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg/23px-Flag_of_C%C3%B4te_d%27Ivoire.svg.png","Ivory Coast","https://en.wikipedia.org/wiki/Ivory_Coast","34,431","35,529","37,030","43,228","48,882","45,815","47,964","51,588","58,011","58,539"
"https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Croatia.svg/23px-Flag_of_Croatia.svg.png","Croatia","https://en.wikipedia.org/wiki/Croatia","60,426","63,170","57,193","58,889","58,330","50,163","52,295","56,214","62,248","62,246"
"https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Cyprus.svg/23px-Flag_of_Cyprus.svg.png","Cyprus","https://en.wikipedia.org/wiki/Cyprus","25,753","27,560","24,993","23,900","23,162","19,844","20,947","22,863","25,535","25,762"
"https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_Czech_Republic.svg/23px-Flag_of_the_Czech_Republic.svg.png","Czech Republic","https://en.wikipedia.org/wiki/Czech_Republic","209,070","229,563","208,858","211,686","209,359","188,033","196,272","218,629","249,001","252,548"
"https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/20px-Flag_of_Denmark.svg.png","Denmark","https://en.wikipedia.org/wiki/Denmark","321,995","344,003","327,149","343,584","352,994","302,673","313,116","332,121","356,841","346,499"
"https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_Djibouti.svg/23px-Flag_of_Djibouti.svg.png","Djibouti","https://en.wikipedia.org/wiki/Djibouti","1,542","1,739","1,900","2,043","2,215","2,424","2,605","2,763","2,913","3,089"
"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Flag_of_Dominica.svg/23px-Flag_of_Dominica.svg.png","Dominica","https://en.wikipedia.org/wiki/Dominica","494","501","486","498","520","541","576","522","555","612"
"https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_the_Dominican_Republic.svg/23px-Flag_of_the_Dominican_Republic.svg.png","Dominican Republic","https://en.wikipedia.org/wiki/Dominican_Republic","53,921","58,088","60,747","62,758","67,264","71,254","75,777","80,082","85,630","89,032"
"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Flag_of_Ecuador.svg/23px-Flag_of_Ecuador.svg.png","Ecuador","https://en.wikipedia.org/wiki/Ecuador","69,555","79,277","87,925","95,130","101,726","99,290","99,938","104,296","107,562","108,108"
"https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png","Egypt","https://en.wikipedia.org/wiki/Egypt","230,024","247,726","278,769","288,007","309,537","340,688","345,537","246,824","263,151","317,895"
"https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_El_Salvador.svg/23px-Flag_of_El_Salvador.svg.png","El Salvador","https://en.wikipedia.org/wiki/El_Salvador","18,448","20,284","21,386","21,991","22,593","23,438","24,191","24,979","26,021","26,881"
"https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Equatorial_Guinea.svg/23px-Flag_of_Equatorial_Guinea.svg.png","Equatorial Guinea","https://en.wikipedia.org/wiki/Equatorial_Guinea","16,314","21,357","22,388","21,949","21,765","13,185","11,241","12,201","13,097","11,364"
"https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Flag_of_Eritrea.svg/23px-Flag_of_Eritrea.svg.png","Eritrea","https://en.wikipedia.org/wiki/Eritrea","1,590","2,065","2,255","1,958","2,604","2,016","2,213","1,904","2,006","1,982"
"https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/23px-Flag_of_Estonia.svg.png","Estonia","https://en.wikipedia.org/wiki/Estonia","19,568","23,210","23,034","25,116","26,641","22,893","24,066","26,915","30,639","31,085"
"https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Flag_of_Eswatini.svg/23px-Flag_of_Eswatini.svg.png","Eswatini","https://en.wikipedia.org/wiki/Eswatini","4,438","4,826","4,887","4,600","4,426","4,061","3,815","4,407","4,665","4,495"
"https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Flag_of_Ethiopia.svg/23px-Flag_of_Ethiopia.svg.png","Ethiopia","https://en.wikipedia.org/wiki/Ethiopia","26,887","30,480","42,221","46,544","54,165","63,081","72,120","76,841","80,207","92,608"
"https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Fiji.svg/23px-Flag_of_Fiji.svg.png","Fiji","https://en.wikipedia.org/wiki/Fiji","3,402","4,094","4,303","4,539","4,857","4,682","4,930","5,353","5,581","5,482"
"https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Finland.svg/23px-Flag_of_Finland.svg.png","Finland","https://en.wikipedia.org/wiki/Finland","249,628","275,556","258,454","271,366","274,934","234,558","240,705","255,558","275,833","268,545"
"https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/23px-Flag_of_France.svg.png","France","https://en.wikipedia.org/wiki/France","2,647,348","2,864,653","2,685,371","2,811,918","2,856,701","2,439,436","2,472,282","2,594,235","2,792,223","2,729,171"
"https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Flag_of_Gabon.svg/20px-Flag_of_Gabon.svg.png","Gabon","https://en.wikipedia.org/wiki/Gabon","14,384","18,207","17,181","17,596","18,209","14,385","14,020","14,924","16,875","16,875"
"https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_The_Gambia.svg/23px-Flag_of_The_Gambia.svg.png","Gambia","https://en.wikipedia.org/wiki/The_Gambia","1,543","1,410","1,415","1,376","1,229","1,355","1,470","1,498","1,662","1,806"
"https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Georgia.svg/23px-Flag_of_Georgia.svg.png","Georgia","https://en.wikipedia.org/wiki/Georgia_(country)","12,242","15,107","16,489","17,188","17,627","14,953","15,141","16,242","17,599","17,477"
"https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/23px-Flag_of_Germany.svg.png","Germany","https://en.wikipedia.org/wiki/Germany","3,402,444","3,748,655","3,529,377","3,733,859","3,890,095","3,357,926","3,468,896","3,689,547","3,976,246","3,888,655"
"https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Ghana.svg/23px-Flag_of_Ghana.svg.png","Ghana","https://en.wikipedia.org/wiki/Ghana","43,327","53,849","56,854","63,702","54,285","49,437","56,144","60,385","67,259","68,353"
"https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Greece.svg/23px-Flag_of_Greece.svg.png","Greece","https://en.wikipedia.org/wiki/Greece","297,368","282,946","242,183","238,911","235,519","195,703","193,095","199,773","212,146","205,166"
"https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Grenada.svg/23px-Flag_of_Grenada.svg.png","Grenada","https://en.wikipedia.org/wiki/Grenada","771","779","800","843","911","997","1,062","1,126","1,167","1,213"
"https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_Guatemala.svg/23px-Flag_of_Guatemala.svg.png","Guatemala","https://en.wikipedia.org/wiki/Guatemala","41,493","47,419","49,902","52,989","57,835","62,180","66,034","71,624","73,331","77,154"
"https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Flag_of_Guinea.svg/23px-Flag_of_Guinea.svg.png","Guinea","https://en.wikipedia.org/wiki/Guinea","6,858","6,034","7,304","8,374","8,777","8,790","8,604","10,325","11,857","13,443"
"https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Guinea-Bissau.svg/23px-Flag_of_Guinea-Bissau.svg.png","Guinea-Bissau","https://en.wikipedia.org/wiki/Guinea-Bissau","941","1,157","1,050","1,110","1,136","1,153","1,245","1,469","1,555","1,487"
"https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_Guyana.svg/23px-Flag_of_Guyana.svg.png","Guyana","https://en.wikipedia.org/wiki/Guyana","2,889","3,328","4,063","4,168","4,128","4,280","4,483","4,748","4,788","5,174"
"https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Haiti.svg/23px-Flag_of_Haiti.svg.png","Haiti","https://en.wikipedia.org/wiki/Haiti","11,852","13,009","13,709","14,904","15,137","14,831","13,996","15,036","16,454","14,787"
"https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Flag_of_Honduras.svg/23px-Flag_of_Honduras.svg.png","Honduras","https://en.wikipedia.org/wiki/Honduras","15,839","17,710","18,529","18,500","19,757","20,980","21,718","23,136","24,068","25,091"
"https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Flag_of_Hong_Kong.svg/23px-Flag_of_Hong_Kong.svg.png","Hong Kong","https://en.wikipedia.org/wiki/Hong_Kong","228,639","248,514","262,629","275,697","291,460","309,386","320,860","341,271","361,731","363,052"
"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/23px-Flag_of_Hungary.svg.png","Hungary","https://en.wikipedia.org/wiki/Hungary","131,917","141,760","128,475","135,412","140,765","125,074","128,636","143,136","160,587","163,517"
"https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Iceland.svg/21px-Flag_of_Iceland.svg.png","Iceland","https://en.wikipedia.org/wiki/Iceland","13,751","15,222","14,752","16,125","17,868","17,517","20,793","24,728","26,264","24,826"
"https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png","India","https://en.wikipedia.org/wiki/India","1,708,460","1,823,052","1,827,637","1,856,721","2,039,127","2,103,588","2,294,797","2,651,474","2,702,930","2,831,553"
"https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Indonesia.svg/23px-Flag_of_Indonesia.svg.png","Indonesia","https://en.wikipedia.org/wiki/Indonesia","755,256","892,590","919,002","916,646","891,051","860,741","932,066","1,015,488","1,042,711","1,119,452"
