,rank,country,population,year
0,42.,Afghanistan,28483632,2009
1,135.,Albania,2982540,2009
2,35.,Algeria,34178188,2009
3,203.,American Samoa,65628,2009
4,199.,Andorra,83888,2009
5,61.,Angola,16565528,2009
6,221.,Anguilla,14438,2009
7,198.,Antigua and Barbuda,85632,2009
8,32.,Argentina,40913584,2009
9,136.,Armenia,2967004,2009
10,194.,Aruba,103065,2009
11,54.,Australia,21262640,2009
12,92.,Austria,8210281,2009
13,89.,Azerbaijan,9206777,2009
14,157.,Bahrain,1144365,2009
15,8.,Bangladesh,153700336,2009
16,179.,Barbados,284589,2009
17,86.,Belarus,9648533,2009
18,78.,Belgium,10414336,2009
19,176.,Belize,307899,2009
20,91.,Benin,8791832,2009
21,202.,Bermuda,67835,2009
22,163.,Bhutan,691141,2009
23,84.,Bolivia,9775246,2009
24,120.,Bosnia and Herzegovina,4613414,2009
25,145.,Botswana,1990876,2009
26,5.,Brazil,198739264,2009
27,217.,British Virgin Islands,28895,2009
28,175.,Brunei,388190,2009
29,98.,Bulgaria,7204687,2009
30,63.,Burkina Faso,15746232,2009
31,88.,Burundi,9511330,2009
32,67.,Cambodia,14206230,2009
33,58.,Cameroon,18879300,2009
34,36.,Canada,33487208,2009
35,170.,Cape Verde,501182,2009
36,209.,Cayman Islands,49035,2009
37,117.,Central African Republic,4741916,2009
38,79.,Chad,10329208,2009
39,196.,Channel Islands,92528,2009
40,60.,Chile,16601707,2009
41,1.,China,1323591552,2009
42,29.,Colombia,43677372,2009
43,164.,Comoros,690013,2009
44,222.,Cook Islands,11870,2009
45,123.,Costa Rica,4455046,2009
46,57.,Cote d'Ivoire,20617068,2009
47,122.,Croatia,4489409,2009
48,73.,Cuba,11109721,2009
49,159.,Cyprus,1084748,2009
50,80.,Czech Republic,10211904,2009
51,19.,Democratic Republic of the Congo,68015712,2009
52,109.,Denmark,5500510,2009
53,162.,Djibouti,724622,2009
54,201.,Dominica,72660,2009
55,85.,Dominican Republic,9690787,2009
56,158.,East Timor,1131612,2009
57,66.,Ecuador,14573101,2009
58,16.,Egypt,78866632,2009
59,105.,El Salvador,6030596,2009
60,166.,Equatorial Guinea,633441,2009
61,107.,Eritrea,5647168,2009
62,154.,Estonia,1299371,2009
63,14.,Ethiopia,85237336,2009
64,210.,Faroe Islands,48856,2009
65,190.,Federated States of Micronesia,107434,2009
66,160.,Fiji,868498,2009
67,112.,Finland,5250275,2009
68,21.,France,64420072,2009
69,180.,French Polynesia,265923,2009
70,152.,Gabon,1514993,2009
71,150.,Gaza Strip,1551859,2009
72,119.,Georgia,4615807,2009
73,15.,Germany,81837696,2009
74,48.,Ghana,23887812,2009
75,218.,Gibraltar,28796,2009
76,75.,Greece,10737428,2009
77,206.,Greenland,57600,2009
78,191.,Grenada,107199,2009
79,185.,Guam,178430,2009
80,69.,Guatemala,13276517,2009
81,205.,Guernsey,64454,2009
82,81.,Guinea,10057975,2009
83,151.,Guinea-Bissau,1533964,2009
84,161.,Guyana,752940,2009
85,83.,Haiti,9777973,2009
86,93.,Honduras,7833696,2009
87,99.,Hong Kong,7055071,2009
88,82.,Hungary,10007168,2009
89,178.,Iceland,306694,2009
90,2.,India,1156897792,2009
91,4.,Indonesia,240271520,2009
92,18.,Iran,75967608,2009
93,39.,Iraq,28945568,2009
94,121.,Ireland,4579996,2009
95,200.,Isle of Man,83039,2009
96,97.,Israel,7233701,2009
97,23.,Italy,60461584,2009
98,138.,Jamaica,2825928,2009
99,10.,Japan,127704288,2009
100,103.,Jordan,6269285,2009
101,59.,Kazakhstan,16863280,2009
102,33.,Kenya,39707700,2009
103,195.,Kiribati,98193,2009
104,147.,Kosovo,1804838,2009
105,139.,Kuwait,2489004,2009
106,111.,Kyrgyzstan,5431747,2009
107,104.,Laos,6256865,2009
108,141.,Latvia,2231503,2009
109,125.,Lebanon,4099315,2009
110,146.,Lesotho,1916134,2009
111,129.,Liberia,3583392,2009
112,101.,Libya,6324357,2009
113,213.,Liechtenstein,35856,2009
114,130.,Lithuania,3555179,2009
115,171.,Luxembourg,491775,2009
116,167.,Macau,559846,2009
117,143.,Macedonia,2066718,2009
118,56.,Madagascar,20653556,2009
119,65.,Malawi,15028757,2009
120,43.,Malaysia,27817866,2009
121,174.,Maldives,396334,2009
122,68.,Mali,13443225,2009
123,173.,Malta,405165,2009
124,204.,Marshall Islands,64522,2009
125,133.,Mauritania,3129486,2009
126,155.,Mauritius,1284264,2009
127,183.,Mayotte,202552,2009
128,11.,Mexico,111211792,2009
129,128.,Moldova,3770698,2009
130,215.,Monaco,30652,2009
131,134.,Mongolia,3041142,2009
132,165.,Montenegro,672180,2009
133,228.,Montserrat,5098,2009
134,38.,Morocco,31285174,2009
135,52.,Mozambique,21921696,2009
136,24.,Myanmar,52826120,2009
137,142.,Namibia,2108665,2009
138,224.,Nauru,9213,2009
139,41.,Nepal,28563376,2009
140,62.,Netherlands,16490410,2009
141,188.,Netherlands Antilles,141987,2009
142,181.,New Caledonia,248406,2009
143,124.,New Zealand,4213418,2009
144,108.,Nicaragua,5541165,2009
145,64.,Niger,15306252,2009
146,7.,Nigeria,157473376,2009
147,47.,North Korea,24190924,2009
148,207.,Northern Mariana Islands,51484,2009
149,118.,Norway,4660539,2009
150,137.,Oman,2909634,2009
151,6.,Pakistan,181457280,2009
152,219.,Palau,20796,2009
153,131.,Panama,3360474,2009
154,106.,Papua New Guinea,5940775,2009
155,102.,Paraguay,6290878,2009
156,40.,Peru,28647372,2009
157,12.,Philippines,97976600,2009
158,34.,Poland,38482920,2009
159,76.,Portugal,10707924,2009
160,127.,Puerto Rico,3967288,2009
161,149.,Qatar,1568525,2009
162,126.,Republic of Congo,4012809,2009
163,51.,Romania,22011818,2009
164,9.,Russia,140041248,2009
165,74.,Rwanda,10746311,2009
166,226.,Saint Barthélemy,7448,2009
167,225.,Saint Helena,7637,2009
168,208.,Saint Kitts and Nevis,49480,2009
169,187.,Saint Lucia,160267,2009
170,216.,Saint Martin,29820,2009
171,227.,Saint Pierre and Miquelon,5996,2009
172,193.,Saint Vincent and the Grenadines,104574,2009
173,184.,Samoa,190897,2009
174,214.,San Marino,31120,2009
175,186.,Sao Tome and Principe,172103,2009
176,46.,Saudi Arabia,25328872,2009
177,71.,Senegal,12008068,2009
178,95.,Serbia,7379339,2009
179,197.,Seychelles,87476,2009
180,113.,Sierra Leone,5132138,2009
181,114.,Singapore,5035897,2009
182,212.,Sint Maarten,37099,2009
183,110.,Slovakia,5463046,2009
184,144.,Slovenia,2005692,2009
185,168.,Solomon Islands,546494,2009
186,87.,Somalia,9613212,2009
187,25.,South Africa,49052488,2009
188,26.,South Korea,48508972,2009
189,27.,Spain,46295240,2009
190,55.,Sri Lanka,20879196,2009
191,30.,Sudan,42811280,2009
192,169.,Suriname,538125,2009
193,153.,Swaziland,1337186,2009
194,90.,Sweden,9059651,2009
195,94.,Switzerland,7604467,2009
196,53.,Syria,21762978,2009
197,49.,Taiwan,22974348,2009
198,96.,Tajikistan,7349145,2009
199,31.,Tanzania,41048532,2009
200,20.,Thailand,65939912,2009
201,177.,The Bahamas,307552,2009
202,148.,The Gambia,1713278,2009
203,100.,Togo,6405008,2009
204,192.,Tonga,105289,2009
205,156.,Trinidad and Tobago,1229953,2009
206,77.,Tunisia,10420551,2009
207,17.,Turkey,76805520,2009
208,115.,Turkmenistan,4884887,2009
209,211.,Turks and Caicos Islands,40983,2009
210,223.,Tuvalu,10404,2009
211,189.,U.S. Virgin Islands,109809,2009
212,37.,Uganda,32369558,2009
213,28.,Ukraine,45700396,2009
214,116.,United Arab Emirates,4798491,2009
215,22.,United Kingdom,61996848,2009
216,3.,United States of America,307006560,2009
217,132.,Uruguay,3293765,2009
218,44.,Uzbekistan,27606008,2009
219,182.,Vanuatu,218519,2009
220,45.,Venezuela,26814844,2009
221,13.,Vietnam,88576760,2009
222,220.,Wallis and Futuna,15289,2009
223,140.,West Bank,2461267,2009
224,172.,Western Sahara,476008,2009
225,50.,Yemen,22858238,2009
226,70.,Zambia,13060677,2009
227,72.,Zimbabwe,11392629,2009
