,rank,country,population,year
0,40.,Afghanistan,31108076,2013
1,136.,Albania,3011405,2013
2,36.,Algeria,35818924,2013
3,204.,American Samoa,68891,2013
4,200.,Andorra,85293,2013
5,59.,Angola,18565268,2013
6,220.,Anguilla,15754,2013
7,198.,Antigua and Barbuda,90156,2013
8,33.,Argentina,42610980,2013
9,137.,Armenia,2974184,2013
10,191.,Aruba,109153,2013
11,55.,Australia,22262500,2013
12,93.,Austria,8221646,2013
13,89.,Azerbaijan,9590159,2013
14,155.,Bahrain,1281332,2013
15,8.,Bangladesh,163654864,2013
16,179.,Barbados,288725,2013
17,90.,Belarus,9508350,2013
18,82.,Belgium,10444268,2013
19,176.,Belize,334297,2013
20,88.,Benin,9877292,2013
21,203.,Bermuda,69467,2013
22,164.,Bhutan,725296,2013
23,81.,Bolivia,10461053,2013
24,121.,Bosnia and Herzegovina,4621812,2013
25,143.,Botswana,2127825,2013
26,5.,Brazil,207964528,2013
27,215.,British Virgin Islands,31912,2013
28,173.,Brunei,415717,2013
29,100.,Bulgaria,6981642,2013
30,60.,Burkina Faso,17812960,2013
31,77.,Burundi,10888321,2013
32,67.,Cambodia,15205539,2013
33,58.,Cameroon,20549220,2013
34,37.,Canada,34568212,2013
35,171.,Cape Verde,531046,2013
36,207.,Cayman Islands,53737,2013
37,116.,Central African Republic,5166510,2013
38,74.,Chad,11193452,2013
39,196.,Channel Islands,95732,2013
40,63.,Chile,17166364,2013
41,1.,China,1349585792,2013
42,29.,Colombia,45745784,2013
43,162.,Comoros,752288,2013
44,223.,Cook Islands,10447,2013
45,120.,Costa Rica,4695942,2013
46,54.,Cote d'Ivoire,22400836,2013
47,124.,Croatia,4475611,2013
48,76.,Cuba,11061886,2013
49,159.,Cyprus,1155403,2013
50,85.,Czech Republic,10162921,2013
51,19.,Democratic Republic of the Congo,75507312,2013
52,111.,Denmark,5556452,2013
53,161.,Djibouti,792198,2013
54,201.,Dominica,73286,2013
55,84.,Dominican Republic,10219630,2013
56,158.,East Timor,1224818,2013
57,66.,Ecuador,15439429,2013
58,15.,Egypt,85294384,2013
59,107.,El Salvador,6108590,2013
60,165.,Equatorial Guinea,704001,2013
61,106.,Eritrea,6233682,2013
62,156.,Estonia,1266375,2013
63,13.,Ethiopia,96838456,2013
64,209.,Faroe Islands,49709,2013
65,193.,Federated States of Micronesia,106104,2013
66,160.,Fiji,896758,2013
67,115.,Finland,5266114,2013
68,21.,France,65729328,2013
69,180.,French Polynesia,277293,2013
70,152.,Gabon,1640286,2013
71,150.,Gaza Strip,1763387,2013
72,122.,Georgia,4555911,2013
73,16.,Germany,81147264,2013
74,47.,Ghana,25691896,2013
75,218.,Gibraltar,29111,2013
76,80.,Greece,10772967,2013
77,206.,Greenland,57714,2013
78,189.,Grenada,109590,2013
79,185.,Guam,188028,2013
80,70.,Guatemala,14373472,2013
81,205.,Guernsey,65605,2013
82,75.,Guinea,11176026,2013
83,151.,Guinea-Bissau,1660870,2013
84,163.,Guyana,739903,2013
85,87.,Haiti,9893934,2013
86,92.,Honduras,8448465,2013
87,98.,Hong Kong,7182724,2013
88,86.,Hungary,9939470,2013
89,178.,Iceland,315281,2013
90,2.,India,1220800384,2013
91,4.,Indonesia,250775664,2013
92,18.,Iran,79853904,2013
93,39.,Iraq,31858480,2013
94,118.,Ireland,4775982,2013
95,199.,Isle of Man,86159,2013
96,95.,Israel,7707042,2013
97,23.,Italy,61482296,2013
98,138.,Jamaica,2909714,2013
99,10.,Japan,127253072,2013
100,104.,Jordan,6482081,2013
101,61.,Kazakhstan,17736896,2013
102,32.,Kenya,44037656,2013
103,194.,Kiribati,103248,2013
104,149.,Kosovo,1847708,2013
105,139.,Kuwait,2695316,2013
106,109.,Kyrgyzstan,5749264,2013
107,102.,Laos,6695166,2013
108,142.,Latvia,2178443,2013
109,126.,Lebanon,4131583,2013
110,147.,Lesotho,1936181,2013
111,128.,Liberia,3989703,2013
112,101.,Libya,6867995,2013
113,213.,Liechtenstein,37009,2013
114,131.,Lithuania,3515858,2013
115,172.,Luxembourg,514862,2013
116,168.,Macau,583003,2013
117,144.,Macedonia,2087171,2013
118,51.,Madagascar,23259610,2013
119,65.,Malawi,16777548,2013
120,43.,Malaysia,29628392,2013
121,175.,Maldives,393988,2013
122,68.,Mali,14917533,2013
123,174.,Malta,411277,2013
124,202.,Marshall Islands,69747,2013
125,132.,Mauritania,3437610,2013
126,154.,Mauritius,1322238,2013
127,183.,Mayotte,215401,2013
128,11.,Mexico,116220944,2013
129,129.,Moldova,3619925,2013
130,217.,Monaco,30500,2013
131,134.,Mongolia,3226516,2013
132,166.,Montenegro,653474,2013
133,228.,Montserrat,5189,2013
134,38.,Morocco,32649130,2013
135,50.,Mozambique,24096668,2013
136,24.,Myanmar,55167328,2013
137,141.,Namibia,2182852,2013
138,224.,Nauru,9434,2013
139,41.,Nepal,30430268,2013
140,64.,Netherlands,16805036,2013
141,188.,Netherlands Antilles,146836,2013
142,181.,New Caledonia,264022,2013
143,125.,New Zealand,4365113,2013
144,108.,Nicaragua,5788531,2013
145,62.,Niger,17709092,2013
146,7.,Nigeria,174507536,2013
147,49.,North Korea,24720408,2013
148,211.,Northern Mariana Islands,43837,2013
149,119.,Norway,4722701,2013
150,135.,Oman,3154134,2013
151,6.,Pakistan,193238864,2013
152,219.,Palau,21108,2013
153,130.,Panama,3559408,2013
154,105.,Papua New Guinea,6431902,2013
155,103.,Paraguay,6623252,2013
156,42.,Peru,29849304,2013
157,12.,Philippines,105720640,2013
158,34.,Poland,38383808,2013
159,79.,Portugal,10799270,2013
160,127.,Puerto Rico,4007996,2013
161,145.,Qatar,2042444,2013
162,123.,Republic of Congo,4492689,2013
163,56.,Romania,21790480,2013
164,9.,Russia,137410000,2013
165,73.,Rwanda,12012589,2013
166,226.,Saint Barthélemy,7298,2013
167,225.,Saint Helena,7754,2013
168,208.,Saint Kitts and Nevis,51134,2013
169,187.,Saint Lucia,162781,2013
170,216.,Saint Martin,31264,2013
171,227.,Saint Pierre and Miquelon,5774,2013
172,195.,Saint Vincent and the Grenadines,103220,2013
173,184.,Samoa,195476,2013
174,214.,San Marino,32448,2013
175,186.,Sao Tome and Principe,186817,2013
176,46.,Saudi Arabia,26939584,2013
177,71.,Senegal,13300410,2013
178,97.,Serbia,7243007,2013
179,197.,Seychelles,90846,2013
180,110.,Sierra Leone,5612685,2013
181,114.,Singapore,5460302,2013
182,212.,Sint Maarten,39689,2013
183,112.,Slovakia,5488339,2013
184,146.,Slovenia,1992690,2013
185,167.,Solomon Islands,597248,2013
186,83.,Somalia,10251568,2013
187,26.,South Africa,48601096,2013
188,25.,South Korea,48955204,2013
189,27.,Spain,47370544,2013
190,57.,Sri Lanka,21675648,2013
191,28.,Sudan,47352068,2013
192,169.,Suriname,566846,2013
193,153.,Swaziland,1403362,2013
194,91.,Sweden,9119423,2013
195,96.,Switzerland,7670478,2013
196,53.,Syria,22457336,2013
197,52.,Taiwan,23151340,2013
198,94.,Tajikistan,7910041,2013
199,31.,Tanzania,44455220,2013
200,20.,Thailand,67448120,2013
201,177.,The Bahamas,319031,2013
202,148.,The Gambia,1883051,2013
203,99.,Togo,7154237,2013
204,192.,Tonga,106322,2013
205,157.,Trinidad and Tobago,1225225,2013
206,78.,Tunisia,10835873,2013
207,17.,Turkey,80694488,2013
208,117.,Turkmenistan,5113040,2013
