,rank,country,population,year
0,39.,Afghanistan,34124812,2018
1,136.,Albania,3047987,2018
2,36.,Algeria,37443708,2018
3,203.,American Samoa,72334,2018
4,200.,Andorra,85702,2018
5,59.,Angola,20728848,2018
6,220.,Anguilla,17087,2018
7,197.,Antigua and Barbuda,94731,2018
8,32.,Argentina,44228776,2018
9,138.,Armenia,2995887,2018
10,189.,Aruba,115120,2018
11,54.,Australia,23232412,2018
12,95.,Austria,8224442,2018
13,88.,Azerbaijan,9961396,2018
14,154.,Bahrain,1410942,2018
15,8.,Bangladesh,174494064,2018
16,179.,Barbados,292336,2018
17,90.,Belarus,9365993,2018
18,86.,Belgium,10460491,2018
19,176.,Belize,360346,2018
20,77.,Benin,11038805,2018
21,204.,Bermuda,70864,2018
22,164.,Bhutan,758288,2018
23,79.,Bolivia,11138234,2018
24,122.,Bosnia and Herzegovina,4610730,2018
25,142.,Botswana,2235533,2018
26,5.,Brazil,216571824,2018
27,214.,British Virgin Islands,35015,2018
28,173.,Brunei,443593,2018
29,106.,Bulgaria,6749824,2018
30,61.,Burkina Faso,20107508,2018
31,75.,Burundi,12292976,2018
32,69.,Cambodia,16204486,2018
33,56.,Cameroon,22223452,2018
34,37.,Canada,35623680,2018
35,171.,Cape Verde,560899,2018
36,206.,Cayman Islands,58441,2018
37,113.,Central African Republic,5625118,2018
38,76.,Chad,12075985,2018
39,196.,Channel Islands,98840,2018
40,64.,Chile,17693176,2018
41,1.,China,1372088192,2018
42,31.,Colombia,47698524,2018
43,162.,Comoros,808080,2018
44,224.,Cook Islands,9290,2018
45,120.,Costa Rica,4930258,2018
46,52.,Cote d'Ivoire,24184810,2018
47,126.,Croatia,4451584,2018
48,81.,Cuba,10996124,2018
49,157.,Cyprus,1221549,2018
50,87.,Czech Republic,10089091,2018
51,16.,Democratic Republic of the Congo,83301152,2018
52,114.,Denmark,5605948,2018
53,161.,Djibouti,865267,2018
54,202.,Dominica,73897,2018
55,82.,Dominican Republic,10734247,2018
56,156.,East Timor,1319178,2018
57,68.,Ecuador,16290913,2018
58,15.,Egypt,91635232,2018
59,109.,El Salvador,6172011,2018
60,163.,Equatorial Guinea,778358,2018
61,105.,Eritrea,6821292,2018
62,158.,Estonia,1231466,2018
63,13.,Ethiopia,109777112,2018
64,210.,Faroe Islands,50730,2018
65,194.,Federated States of Micronesia,104196,2018
66,160.,Fiji,920938,2018
67,117.,Finland,5273465,2018
68,21.,France,66822008,2018
69,180.,French Polynesia,287881,2018
70,152.,Gabon,1772255,2018
71,147.,Gaza Strip,1972617,2018
72,125.,Georgia,4492181,2018
73,19.,Germany,80594016,2018
74,48.,Ghana,27470168,2018
75,218.,Gibraltar,29396,2018
76,84.,Greece,10768477,2018
77,207.,Greenland,57713,2018
78,190.,Grenada,111724,2018
79,186.,Guam,197187,2018
80,70.,Guatemala,15460732,2018
81,205.,Guernsey,66502,2018
82,74.,Guinea,12413867,2018
83,151.,Guinea-Bissau,1792338,2018
84,165.,Guyana,741403,2018
85,85.,Haiti,10346294,2018
86,92.,Honduras,9038741,2018
87,99.,Hong Kong,7279725,2018
88,89.,Hungary,9850845,2018
89,178.,Iceland,323392,2018
90,2.,India,1281935872,2018
91,4.,Indonesia,260580848,2018
92,18.,Iran,83768456,2018
93,38.,Iraq,34751520,2018
94,119.,Ireland,5011102,2018
95,199.,Isle of Man,88815,2018
96,94.,Israel,8157105,2018
97,23.,Italy,62137800,2018
98,137.,Jamaica,2990561,2018
99,10.,Japan,126451400,2018
100,104.,Jordan,6876804,2018
101,63.,Kazakhstan,18556698,2018
102,30.,Kenya,47615740,2018
103,191.,Kiribati,108145,2018
104,150.,Kosovo,1895250,2018
105,140.,Kuwait,2875422,2018
106,110.,Kyrgyzstan,6076655,2018
107,100.,Laos,7126706,2018
108,144.,Latvia,2123401,2018
109,127.,Lebanon,4189699,2018
110,149.,Lesotho,1958042,2018
111,124.,Liberia,4405340,2018
112,98.,Libya,7388335,2018
113,213.,Liechtenstein,38244,2018
114,132.,Lithuania,3473182,2018
115,172.,Luxembourg,538275,2018
116,169.,Macau,601969,2018
117,145.,Macedonia,2103721,2018
118,50.,Madagascar,26098776,2018
119,62.,Malawi,18687310,2018
120,42.,Malaysia,31381992,2018
121,175.,Maldives,392709,2018
122,67.,Mali,16559842,2018
123,174.,Malta,416338,2018
124,201.,Marshall Islands,74539,2018
125,129.,Mauritania,3758571,2018
126,155.,Mauritius,1356388,2018
127,183.,Mayotte,223946,2018
128,11.,Mexico,121116960,2018
129,134.,Moldova,3474121,2018
130,217.,Monaco,30645,2018
131,133.,Mongolia,3407696,2018
132,167.,Montenegro,642550,2018
133,228.,Montserrat,5292,2018
134,40.,Morocco,33986656,2018
135,49.,Mozambique,26573706,2018
136,24.,Myanmar,57457664,2018
137,143.,Namibia,2236141,2018
138,223.,Nauru,9642,2018
139,41.,Nepal,32658736,2018
140,65.,Netherlands,17084720,2018
141,188.,Netherlands Antilles,149648,2018
142,181.,New Caledonia,279070,2018
143,123.,New Zealand,4510327,2018
144,111.,Nicaragua,6025951,2018
145,60.,Niger,20449694,2018
146,7.,Nigeria,192908800,2018
147,51.,North Korea,25248140,2018
148,211.,Northern Mariana Islands,46273,2018
149,121.,Norway,4786379,2018
150,131.,Oman,3424386,2018
151,6.,Pakistan,204924864,2018
152,219.,Palau,21431,2018
153,130.,Panama,3753142,2018
154,102.,Papua New Guinea,6909701,2018
155,103.,Paraguay,6943739,2018
156,43.,Peru,31036656,2018
157,12.,Philippines,113510008,2018
158,35.,Poland,38188708,2018
159,83.,Portugal,10839514,2018
160,128.,Puerto Rico,4037229,2018
161,141.,Qatar,2314307,2018
162,118.,Republic of Congo,5025422,2018
163,58.,Romania,21529968,2018
164,9.,Russia,134547680,2018
165,73.,Rwanda,13319202,2018
166,226.,Saint Barthélemy,7184,2018
167,225.,Saint Helena,7828,2018
168,209.,Saint Kitts and Nevis,52715,2018
169,187.,Saint Lucia,164994,2018
170,216.,Saint Martin,32125,2018
171,227.,Saint Pierre and Miquelon,5533,2018
172,195.,Saint Vincent and the Grenadines,102089,2018
173,185.,Samoa,200108,2018
174,215.,San Marino,33537,2018
175,184.,Sao Tome and Principe,201025,2018
176,46.,Saudi Arabia,28571770,2018
177,72.,Senegal,14668522,2018
178,101.,Serbia,7111024,2018
179,198.,Seychelles,93920,2018
180,107.,Sierra Leone,6163195,2018
181,112.,Singapore,5888926,2018
182,212.,Sint Maarten,42083,2018
183,115.,Slovakia,5499136,2018
184,148.,Slovenia,1972126,2018
185,166.,Solomon Islands,647581,2018
186,80.,Somalia,11031386,2018
187,29.,South Africa,48390476,2018
188,27.,South Korea,49237468,2018
189,26.,Spain,48958160,2018
190,57.,Sri Lanka,22409380,2018
191,25.,Sudan,52316068,2018
192,170.,Suriname,591919,2018
193,153.,Swaziland,1467152,2018
194,91.,Sweden,9189164,2018
195,97.,Switzerland,7721800,2018
196,53.,Syria,23614454,2018
197,55.,Taiwan,23254192,2018
198,93.,Tajikistan,8468555,2018
199,28.,Tanzania,47722652,2018
200,20.,Thailand,68734560,2018
201,177.,The Bahamas,329988,2018
202,146.,The Gambia,2051363,2018
203,96.,Togo,7965055,2018
204,193.,Tonga,106479,2018
205,159.,Trinidad and Tobago,1218208,2018
206,78.,Tunisia,11229332,2018
207,17.,Turkey,84273192,2018
208,116.,Turkmenistan,5351277,2018
209,208.,Turks and Caicos Islands,52570,2018
210,222.,Tuvalu,11052,2018
211,192.,U.S. Virgin Islands,108991,2018
212,33.,Uganda,42894272,2018
213,34.,Ukraine,43437328,2018
214,108.,United Arab Emirates,6072475,2018
215,22.,United Kingdom,64769452,2018
216,3.,United States of America,328131072,2018
217,135.,Uruguay,3360148,2018
218,45.,Uzbekistan,29748860,2018
219,182.,Vanuatu,242296,2018
220,44.,Venezuela,30083356,2018
221,14.,Vietnam,96160160,2018
222,221.,Wallis and Futuna,15714,2018
223,139.,West Bank,2894389,2018
224,168.,Western Sahara,603253,2018
225,47.,Yemen,27908226,2018
226,66.,Zambia,16587630,2018
227,71.,Zimbabwe,14868131,2018
