,rank,country,population,year
0,42.,Afghanistan,27705724,2008
1,135.,Albania,2984121,2008
2,35.,Algeria,33769668,2008
3,203.,American Samoa,64827,2008
4,199.,Andorra,82627,2008
5,62.,Angola,16102061,2008
6,221.,Anguilla,14110,2008
7,198.,Antigua and Barbuda,84522,2008
8,31.,Argentina,40482000,2008
9,136.,Armenia,2968586,2008
10,194.,Aruba,101541,2008
11,54.,Australia,21007310,2008
12,92.,Austria,8205533,2008
13,89.,Azerbaijan,9111089,2008
14,158.,Bahrain,1107292,2008
15,8.,Bangladesh,151289984,2008
16,179.,Barbados,283498,2008
17,83.,Belarus,9685768,2008
18,77.,Belgium,10403951,2008
19,178.,Belize,301270,2008
20,91.,Benin,8532547,2008
21,202.,Bermuda,67387,2008
22,163.,Bhutan,682321,2008
23,85.,Bolivia,9601257,2008
24,120.,Bosnia and Herzegovina,4590310,2008
25,145.,Botswana,1952048,2008
26,5.,Brazil,196342592,2008
27,218.,British Virgin Islands,28176,2008
28,175.,Brunei,381371,2008
29,96.,Bulgaria,7262675,2008
30,63.,Burkina Faso,15264735,2008
31,88.,Burundi,9139314,2008
32,67.,Cambodia,13957013,2008
33,58.,Cameroon,18467692,2008
34,36.,Canada,33212696,2008
35,170.,Cape Verde,493619,2008
36,210.,Cayman Islands,47862,2008
37,117.,Central African Republic,4641320,2008
38,80.,Chad,10111337,2008
39,196.,Channel Islands,91629,2008
40,60.,Chile,16454143,2008
41,1.,China,1317065728,2008
42,29.,Colombia,43141108,2008
43,165.,Comoros,673599,2008
44,222.,Cook Islands,12271,2008
45,123.,Costa Rica,4393241,2008
46,56.,Cote d'Ivoire,20179602,2008
47,122.,Croatia,4491543,2008
48,73.,Cuba,11134892,2008
49,159.,Cyprus,1066817,2008
50,79.,Czech Republic,10220911,2008
51,19.,Democratic Republic of the Congo,66187144,2008
52,108.,Denmark,5484723,2008
53,162.,Djibouti,709196,2008
54,201.,Dominica,72514,2008
55,86.,Dominican Republic,9558183,2008
56,157.,East Timor,1108777,2008
57,66.,Ecuador,14354469,2008
58,16.,Egypt,77266688,2008
59,105.,El Salvador,6006449,2008
60,166.,Equatorial Guinea,616459,2008
61,107.,Eritrea,5502026,2008
62,154.,Estonia,1307605,2008
63,14.,Ethiopia,82544840,2008
64,209.,Faroe Islands,48668,2008
65,190.,Federated States of Micronesia,107665,2008
66,160.,Fiji,860535,2008
67,112.,Finland,5244749,2008
68,21.,France,64057792,2008
69,180.,French Polynesia,262881,2008
70,151.,Gabon,1485832,2008
71,150.,Gaza Strip,1500202,2008
72,118.,Georgia,4630841,2008
73,15.,Germany,82065368,2008
74,48.,Ghana,23434572,2008
75,217.,Gibraltar,28708,2008
76,74.,Greece,10722816,2008
77,206.,Greenland,57564,2008
78,191.,Grenada,106555,2008
79,185.,Guam,175991,2008
80,69.,Guatemala,13002206,2008
81,204.,Guernsey,64096,2008
82,82.,Guinea,9806509,2008
83,149.,Guinea-Bissau,1503182,2008
84,161.,Guyana,758059,2008
85,84.,Haiti,9639078,2008
86,93.,Honduras,7675849,2008
87,99.,Hong Kong,7018636,2008
88,81.,Hungary,10020481,2008
89,177.,Iceland,304367,2008
90,2.,India,1140566272,2008
91,4.,Indonesia,237512352,2008
92,18.,Iran,75025360,2008
93,40.,Iraq,28221436,2008
