,rank,country,population,year
0,40.,Afghanistan,33332024,2016
1,136.,Albania,3038594,2016
2,36.,Algeria,37044884,2016
3,203.,American Samoa,71453,2016
4,200.,Andorra,85660,2016
5,59.,Angola,20172332,2016
6,220.,Anguilla,16752,2016
7,197.,Antigua and Barbuda,93581,2016
8,32.,Argentina,43833328,2016
9,137.,Armenia,2989664,2016
10,189.,Aruba,113648,2016
11,55.,Australia,22992654,2016
12,94.,Austria,8224526,2016
13,89.,Azerbaijan,9872765,2016
14,154.,Bahrain,1378904,2016
15,8.,Bangladesh,171696848,2016
16,179.,Barbados,291495,2016
17,90.,Belarus,9402730,2016
18,85.,Belgium,10457482,2016
19,176.,Belize,353858,2016
20,83.,Benin,10741458,2016
21,204.,Bermuda,70537,2016
22,164.,Bhutan,750125,2016
23,79.,Bolivia,10969649,2016
24,122.,Bosnia and Herzegovina,4614967,2016
25,143.,Botswana,2209208,2016
26,5.,Brazil,214479424,2016
27,214.,British Virgin Islands,34232,2016
28,173.,Brunei,436620,2016
29,103.,Bulgaria,6808847,2016
30,61.,Burkina Faso,19512532,2016
31,75.,Burundi,11929740,2016
32,69.,Cambodia,15957223,2016
33,57.,Cameroon,21805476,2016
34,37.,Canada,35362904,2016
35,171.,Cape Verde,553432,2016
36,207.,Cayman Islands,57268,2016
37,114.,Central African Republic,5507257,2016
38,76.,Chad,11852462,2016
39,196.,Channel Islands,98069,2016
40,64.,Chile,17565268,2016
41,1.,China,1366993920,2016
42,29.,Colombia,47220856,2016
43,162.,Comoros,794678,2016
44,224.,Cook Islands,9556,2016
45,120.,Costa Rica,4872543,2016
46,52.,Cote d'Ivoire,23740424,2016
47,125.,Croatia,4458533,2016
48,78.,Cuba,11014425,2016
49,159.,Cyprus,1205575,2016
50,87.,Czech Republic,10110255,2016
51,18.,Democratic Republic of the Congo,81331048,2016
52,113.,Denmark,5593785,2016
53,161.,Djibouti,846687,2016
54,201.,Dominica,73757,2016
55,84.,Dominican Republic,10606865,2016
56,156.,East Timor,1295654,2016
57,68.,Ecuador,16080778,2016
58,15.,Egypt,90067792,2016
59,107.,El Salvador,6156670,2016
60,163.,Equatorial Guinea,759451,2016
61,106.,Eritrea,6674489,2016
62,157.,Estonia,1240506,2016
63,13.,Ethiopia,106412312,2016
64,210.,Faroe Islands,50456,2016
65,194.,Federated States of Micronesia,104719,2016
66,160.,Fiji,915303,2016
67,117.,Finland,5272545,2016
68,21.,France,66567560,2016
69,180.,French Polynesia,285321,2016
70,152.,Gabon,1738541,2016
71,149.,Gaza Strip,1921202,2016
72,123.,Georgia,4508804,2016
73,19.,Germany,80722792,2016
74,48.,Ghana,27027696,2016
75,218.,Gibraltar,29328,2016
76,82.,Greece,10773253,2016
77,206.,Greenland,57728,2016
78,190.,Grenada,111219,2016
79,186.,Guam,194930,2016
80,70.,Guatemala,15189958,2016
81,205.,Guernsey,66297,2016
82,74.,Guinea,12093349,2016
83,151.,Guinea-Bissau,1759159,2016
84,165.,Guyana,739438,2016
85,86.,Haiti,10228410,2016
86,92.,Honduras,8893259,2016
87,99.,Hong Kong,7258697,2016
88,88.,Hungary,9874784,2016
89,178.,Iceland,321410,2016
90,2.,India,1266883584,2016
91,4.,Indonesia,258188400,2016
92,17.,Iran,82801632,2016
93,38.,Iraq,34031600,2016
94,118.,Ireland,4952473,2016
95,199.,Isle of Man,88195,2016
96,95.,Israel,8046902,2016
97,23.,Italy,62007540,2016
98,138.,Jamaica,2970340,2016
99,10.,Japan,126702136,2016
100,105.,Jordan,6743610,2016
101,62.,Kazakhstan,18360352,2016
102,31.,Kenya,46790760,2016
103,192.,Kiribati,106925,2016
104,150.,Kosovo,1883018,2016
105,140.,Kuwait,2832776,2016
106,109.,Kyrgyzstan,5995272,2016
107,101.,Laos,7019073,2016
108,144.,Latvia,2137748,2016
109,127.,Lebanon,4169664,2016
110,148.,Lesotho,1953070,2016
111,126.,Liberia,4299944,2016
112,98.,Libya,7260993,2016
113,213.,Liechtenstein,37937,2016
114,132.,Lithuania,3484499,2016
115,172.,Luxembourg,532378,2016
116,168.,Macau,597425,2016
117,145.,Macedonia,2100025,2016
118,50.,Madagascar,25367712,2016
119,63.,Malawi,18197068,2016
120,42.,Malaysia,30949962,2016
121,175.,Maldives,392960,2016
122,66.,Mali,16134194,2016
123,174.,Malta,415196,2016
124,202.,Marshall Islands,73376,2016
125,130.,Mauritania,3677293,2016
126,155.,Mauritius,1348242,2016
127,183.,Mayotte,222100,2016
128,11.,Mexico,119908864,2016
129,131.,Moldova,3510485,2016
130,217.,Monaco,30581,2016
131,133.,Mongolia,3363204,2016
132,166.,Montenegro,644578,2016
133,228.,Montserrat,5267,2016
134,39.,Morocco,33655784,2016
135,49.,Mozambique,25930150,2016
136,24.,Myanmar,56890416,2016
137,142.,Namibia,2224786,2016
138,223.,Nauru,9591,2016
139,41.,Nepal,32111344,2016
140,65.,Netherlands,17016968,2016
141,188.,Netherlands Antilles,149035,2016
142,181.,New Caledonia,275355,2016
143,124.,New Zealand,4474549,2016
144,110.,Nicaragua,5966798,2016
145,60.,Niger,19730708,2016
146,7.,Nigeria,188172256,2016
147,51.,North Korea,25115312,2016
148,211.,Northern Mariana Islands,45348,2016
149,121.,Norway,4770085,2016
150,134.,Oman,3355262,2016
151,6.,Pakistan,201995536,2016
152,219.,Palau,21347,2016
153,129.,Panama,3705246,2016
154,104.,Papua New Guinea,6791317,2016
155,102.,Paraguay,6862812,2016
156,43.,Peru,30741062,2016
157,12.,Philippines,111563328,2016
158,35.,Poland,38249652,2016
159,80.,Portugal,10833816,2016
160,128.,Puerto Rico,4031066,2016
161,141.,Qatar,2258283,2016
162,119.,Republic of Congo,4889090,2016
163,58.,Romania,21599736,2016
164,9.,Russia,135286000,2016
165,73.,Rwanda,12988423,2016
166,226.,Saint Barthélemy,7209,2016
167,225.,Saint Helena,7813,2016
168,208.,Saint Kitts and Nevis,52329,2016
169,187.,Saint Lucia,164464,2016
170,216.,Saint Martin,31949,2016
171,227.,Saint Pierre and Miquelon,5595,2016
172,195.,Saint Vincent and the Grenadines,102350,2016
173,184.,Samoa,198926,2016
174,215.,San Marino,33285,2016
175,185.,Sao Tome and Principe,197541,2016
176,46.,Saudi Arabia,28160272,2016
177,72.,Senegal,14320055,2016
178,100.,Serbia,7143921,2016
179,198.,Seychelles,93186,2016
180,108.,Sierra Leone,6018888,2016
181,112.,Singapore,5781728,2016
182,212.,Sint Maarten,41486,2016
183,115.,Slovakia,5498183,2016
184,147.,Slovenia,1978029,2016
185,167.,Solomon Islands,635027,2016
186,81.,Somalia,10817354,2016
187,28.,South Africa,48339288,2016
188,26.,South Korea,49180776,2016
189,27.,Spain,48563476,2016
190,56.,Sri Lanka,22235000,2016
191,25.,Sudan,51035384,2016
192,170.,Suriname,585824,2016
193,153.,Swaziland,1451428,2016
194,91.,Sweden,9170802,2016
195,97.,Switzerland,7710254,2016
196,54.,Syria,23229108,2016
197,53.,Taiwan,23235798,2016
198,93.,Tajikistan,8330946,2016
199,30.,Tanzania,46929916,2016
200,20.,Thailand,68433232,2016
201,177.,The Bahamas,327316,2016
202,146.,The Gambia,2009648,2016
203,96.,Togo,7756937,2016
204,193.,Tonga,106513,2016
205,158.,Trinidad and Tobago,1220479,2016
