,rank,country,population,year
0,39.,Afghanistan,35780456,2018
1,136.,Albania,3066126,2018
2,35.,Algeria,38219296,2018
3,203.,American Samoa,74118,2018
4,200.,Andorra,85684,2018
5,59.,Angola,21885078,2018
6,220.,Anguilla,17756,2018
7,197.,Antigua and Barbuda,97031,2018
8,33.,Argentina,45001592,2018
9,138.,Armenia,3009807,2018
10,189.,Aruba,118013,2018
11,54.,Australia,23705630,2018
12,96.,Austria,8222201,2018
13,87.,Azerbaijan,10128025,2018
14,154.,Bahrain,1474016,2018
15,8.,Bangladesh,180203952,2018
16,179.,Barbados,293874,2018
17,91.,Belarus,9289207,2018
18,86.,Belgium,10464320,2018
19,176.,Belize,373257,2018
20,77.,Benin,11646392,2018
21,204.,Bermuda,71472,2018
22,164.,Bhutan,774410,2018
23,79.,Bolivia,11473676,2018
24,123.,Bosnia and Herzegovina,4599330,2018
25,142.,Botswana,2287158,2018
26,5.,Brazil,220632960,2018
27,214.,British Virgin Islands,36591,2018
28,173.,Brunei,457533,2018
29,106.,Bulgaria,6629803,2018
30,61.,Burkina Faso,21340060,2018
31,75.,Burundi,13042255,2018
32,69.,Cambodia,16690861,2018
33,56.,Cameroon,23056940,2018
34,38.,Canada,36136376,2018
35,171.,Cape Verde,575839,2018
36,206.,Cayman Islands,60781,2018
37,113.,Central African Republic,5867019,2018
38,76.,Chad,12528344,2018
39,196.,Channel Islands,100348,2018
40,64.,Chile,17939682,2018
41,1.,China,1380914176,2018
42,30.,Colombia,48631464,2018
43,162.,Comoros,833909,2018
44,224.,Cook Islands,8799,2018
45,120.,Costa Rica,5043084,2018
46,52.,Cote d'Ivoire,25067462,2018
47,126.,Croatia,4435925,2018
48,82.,Cuba,10954975,2018
49,157.,Cyprus,1252147,2018
50,88.,Czech Republic,10040737,2018
51,16.,Democratic Republic of the Congo,87265520,2018
52,114.,Denmark,5630198,2018
53,161.,Djibouti,902892,2018
54,202.,Dominica,74144,2018
55,81.,Dominican Republic,10985823,2018
56,156.,East Timor,1365660,2018
57,68.,Ecuador,16703254,2018
58,15.,Egypt,94731960,2018
59,110.,El Salvador,6202330,2018
60,163.,Equatorial Guinea,816736,2018
61,103.,Eritrea,7114222,2018
62,158.,Estonia,1212582,2018
63,13.,Ethiopia,116776352,2018
64,210.,Faroe Islands,51319,2018
65,194.,Federated States of Micronesia,103057,2018
66,160.,Fiji,931295,2018
67,118.,Finland,5273225,2018
68,21.,France,67296536,2018
69,180.,French Polynesia,292789,2018
70,152.,Gabon,1841324,2018
71,147.,Gaza Strip,2072694,2018
72,125.,Georgia,4457705,2018
73,19.,Germany,80313272,2018
74,48.,Ghana,28349600,2018
75,218.,Gibraltar,29523,2018
76,84.,Greece,10752626,2018
77,207.,Greenland,57660,2018
78,190.,Grenada,112665,2018
79,186.,Guam,201604,2018
80,70.,Guatemala,15998742,2018
81,205.,Guernsey,66880,2018
82,74.,Guinea,13077166,2018
83,151.,Guinea-Bissau,1859095,2018
84,165.,Guyana,748823,2018
