,rank,country,population,year
0,40.,Afghanistan,29120728,2010
1,135.,Albania,2986952,2010
2,35.,Algeria,34586184,2010
3,203.,American Samoa,66432,2010
4,199.,Andorra,84525,2010
5,60.,Angola,17042872,2010
6,221.,Anguilla,14766,2010
7,198.,Antigua and Barbuda,86754,2010
8,32.,Argentina,41343200,2010
9,137.,Armenia,2966802,2010
10,193.,Aruba,104589,2010
11,54.,Australia,21515754,2010
12,92.,Austria,8214160,2010
13,89.,Azerbaijan,9301673,2010
14,157.,Bahrain,1180080,2010
15,8.,Bangladesh,156118464,2010
16,179.,Barbados,285653,2010
17,88.,Belarus,9612632,2010
18,79.,Belgium,10423493,2010
19,176.,Belize,314522,2010
20,91.,Benin,9056010,2010
21,202.,Bermuda,68265,2010
22,164.,Bhutan,699847,2010
23,83.,Bolivia,9947418,2010
24,120.,Bosnia and Herzegovina,4621598,2010
25,144.,Botswana,2029307,2010
26,5.,Brazil,201103328,2010
27,217.,British Virgin Islands,29640,2010
28,175.,Brunei,395027,2010
29,98.,Bulgaria,7148785,2010
30,63.,Burkina Faso,16241811,2010
31,84.,Burundi,9863117,2010
32,67.,Cambodia,14453680,2010
33,58.,Cameroon,19294148,2010
34,36.,Canada,33759744,2010
35,170.,Cape Verde,508659,2010
36,207.,Cayman Islands,50209,2010
37,117.,Central African Republic,4844927,2010
38,77.,Chad,10543464,2010
39,196.,Channel Islands,93363,2010
40,61.,Chile,16746491,2010
41,1.,China,1330141312,2010
42,29.,Colombia,44205292,2010
43,163.,Comoros,706122,2010
44,222.,Cook Islands,11488,2010
45,122.,Costa Rica,4516220,2010
46,57.,Cote d'Ivoire,21058798,2010
47,123.,Croatia,4486881,2010
48,73.,Cuba,11098415,2010
49,159.,Cyprus,1102677,2010
50,81.,Czech Republic,10201707,2010
51,19.,Democratic Republic of the Congo,69851288,2010
52,109.,Denmark,5515575,2010
53,162.,Djibouti,740528,2010
54,201.,Dominica,72813,2010
55,85.,Dominican Republic,9823821,2010
56,158.,East Timor,1154625,2010
57,66.,Ecuador,14790608,2010
58,16.,Egypt,80471872,2010
59,106.,El Salvador,6052064,2010
