,rank,country,population,year
0,42.,Afghanistan,25005388,2003
1,131.,Albania,3069665,2003
2,36.,Algeria,31740896,2003
3,205.,American Samoa,60500,2003
4,202.,Andorra,68782,2003
5,62.,Angola,13815757,2003
6,222.,Anguilla,12448,2003
7,198.,Antigua and Barbuda,79066,2003
8,31.,Argentina,38336880,2003
9,133.,Armenia,3001712,2003
10,194.,Aruba,93716,2003
11,51.,Australia,19766540,2003
12,90.,Austria,8162656,2003
13,88.,Azerbaijan,8662912,2003
14,159.,Bahrain,781004,2003
15,8.,Bangladesh,139305024,2003
16,178.,Barbados,277547,2003
17,79.,Belarus,9905210,2003
18,75.,Belgium,10330824,2003
19,179.,Belize,267958,2003
20,95.,Benin,7293710,2003
21,203.,Bermuda,64761,2003
22,164.,Bhutan,635757,2003
23,87.,Bolivia,8719064,2003
24,119.,Bosnia and Herzegovina,4243181,2003
25,146.,Botswana,1777092,2003
26,5.,Brazil,183959920,2003
27,217.,British Virgin Islands,24485,2003
28,174.,Brunei,347260,2003
29,91.,Bulgaria,7588399,2003
30,64.,Burkina Faso,13065394,2003
31,92.,Burundi,7552647,2003
32,65.,Cambodia,12920705,2003
33,58.,Cameroon,16489008,2003
34,35.,Canada,31889308,2003
35,170.,Cape Verde,454825,2003
36,210.,Cayman Islands,41985,2003
37,120.,Central African Republic,4214915,2003
38,86.,Chad,8745740,2003
39,196.,Channel Islands,88087,2003
40,61.,Chile,15671908,2003
41,1.,China,1284303360,2003
42,29.,Colombia,40351016,2003
43,165.,Comoros,590061,2003
44,221.,Cook Islands,14602,2003
45,121.,Costa Rica,4083816,2003
46,55.,Cote d'Ivoire,18068004,2003
47,116.,Croatia,4497779,2003
48,72.,Cuba,11167179,2003
49,157.,Cyprus,964652,2003
50,76.,Czech Republic,10251087,2003
51,23.,Democratic Republic of the Congo,57303280,2003
52,106.,Denmark,5394138,2003
53,163.,Djibouti,690777,2003
54,201.,Dominica,71734,2003
55,83.,Dominican Republic,8896576,2003
56,156.,East Timor,998553,2003
57,63.,Ecuador,13074181,2003
58,18.,Egypt,69501856,2003
59,100.,El Salvador,5919845,2003
60,166.,Equatorial Guinea,535927,2003
61,113.,Eritrea,4700022,2003
62,150.,Estonia,1350722,2003
63,17.,Ethiopia,70366064,2003
64,208.,Faroe Islands,47954,2003
65,190.,Federated States of Micronesia,108109,2003
66,158.,Fiji,823178,2003
67,107.,Finland,5204405,2003
68,20.,France,62171392,2003
69,180.,French Polynesia,247754,2003
70,151.,Gabon,1332623,2003
71,152.,Gaza Strip,1257161,2003
72,112.,Georgia,4710921,2003
73,13.,Germany,82504552,2003
74,50.,Ghana,21137204,2003
75,215.,Gibraltar,28321,2003
76,73.,Greece,10625945,2003
77,206.,Greenland,57541,2003
78,192.,Grenada,103320,2003
79,185.,Guam,163605,2003
80,69.,Guatemala,11725208,2003
81,204.,Guernsey,62599,2003
82,85.,Guinea,8755538,2003
83,149.,Guinea-Bissau,1359917,2003
84,160.,Guyana,779809,2003
85,84.,Haiti,8883665,2003
86,96.,Honduras,6862050,2003
87,97.,Hong Kong,6809738,2003
88,78.,Hungary,10091987,2003
89,177.,Iceland,291064,2003
90,2.,India,1057251136,2003
91,4.,Indonesia,223069664,2003
92,15.,Iran,70811824,2003
93,44.,Iraq,24685180,2003
94,123.,Ireland,4002170,2003
95,199.,Isle of Man,77958,2003
96,99.,Israel,6491919,2003
97,22.,Italy,58336020,2003
98,137.,Jamaica,2689150,2003
99,10.,Japan,127552248,2003
100,111.,Jordan,5013775,2003
101,60.,Kazakhstan,15882506,2003
102,34.,Kenya,33244826,2003
103,195.,Kiribati,89701,2003
104,147.,Kosovo,1747530,2003
105,141.,Kuwait,2139818,2003
106,110.,Kyrgyzstan,5019150,2003
107,102.,Laos,5654002,2003
108,139.,Latvia,2322943,2003
109,126.,Lebanon,3855482,2003
110,145.,Lesotho,1926345,2003
111,135.,Liberia,2769683,2003
112,103.,Libya,5510134,2003
113,211.,Liechtenstein,34206,2003
114,128.,Lithuania,3620094,2003
115,169.,Luxembourg,456764,2003
116,171.,Macau,444177,2003
117,142.,Macedonia,2035145,2003
118,57.,Madagascar,17239524,2003
119,66.,Malawi,12796797,2003
120,43.,Malaysia,24880396,2003
121,175.,Maldives,318490,2003
122,70.,Mali,11522804,2003
123,172.,Malta,395178,2003
124,207.,Marshall Islands,56448,2003
125,136.,Mauritania,2699242,2003
126,154.,Mauritius,1221004,2003
127,184.,Mayotte,178212,2003
128,11.,Mexico,103718064,2003
129,122.,Moldova,4040951,2003
130,213.,Monaco,31460,2003
131,134.,Mongolia,2784084,2003
132,162.,Montenegro,713614,2003
133,228.,Montserrat,4491,2003
134,37.,Morocco,29197060,2003
135,53.,Mozambique,19215334,2003
136,24.,Myanmar,49344680,2003
137,144.,Namibia,1983430,2003
138,224.,Nauru,9926,2003
139,40.,Nepal,26275378,2003
140,59.,Netherlands,16216609,2003
141,188.,Netherlands Antilles,133200,2003
142,181.,New Caledonia,223689,2003
143,124.,New Zealand,3960281,2003
144,109.,Nicaragua,5116137,2003
145,67.,Niger,12239313,2003
146,9.,Nigeria,134450816,2003
147,46.,North Korea,23330468,2003
148,200.,Northern Mariana Islands,76617,2003
149,115.,Norway,4555400,2003
150,138.,Oman,2593790,2003
151,6.,Pakistan,163165632,2003
152,219.,Palau,19984,2003
153,132.,Panama,3053605,2003
154,108.,Papua New Guinea,5188113,2003
155,101.,Paraguay,5728549,2003
156,38.,Peru,26809346,2003
157,12.,Philippines,86751696,2003
158,30.,Poland,38602852,2003
159,74.,Portugal,10479955,2003
160,125.,Puerto Rico,3876637,2003
161,161.,Qatar,735643,2003
162,129.,Republic of Congo,3414253,2003
163,49.,Romania,22304678,2003
164,7.,Russia,144307856,2003
165,81.,Rwanda,9098466,2003
166,225.,Saint Barthélemy,7501,2003
167,226.,Saint Helena,7386,2003
168,209.,Saint Kitts and Nevis,47139,2003
169,186.,Saint Lucia,156008,2003
170,216.,Saint Martin,27363,2003
171,227.,Saint Pierre and Miquelon,6290,2003
172,191.,Saint Vincent and the Grenadines,106882,2003
173,183.,Samoa,181088,2003
174,214.,San Marino,28733,2003
175,187.,Sao Tome and Principe,150508,2003
176,47.,Saudi Arabia,22742890,2003
177,77.,Senegal,10240144,2003
178,93.,Serbia,7535230,2003
179,197.,Seychelles,82049,2003
180,117.,Sierra Leone,4465683,2003
181,118.,Singapore,4390624,2003
182,212.,Sint Maarten,31644,2003
183,105.,Slovakia,5416406,2003
184,143.,Slovenia,2011604,2003
185,168.,Solomon Islands,470654,2003
186,89.,Somalia,8271771,2003
187,27.,South Africa,46566624,2003
188,26.,South Korea,47656632,2003
189,28.,Spain,42321028,2003
190,52.,Sri Lanka,19708716,2003
191,32.,Sudan,36707832,2003
192,167.,Suriname,488131,2003
193,155.,Swaziland,1216439,2003
194,82.,Sweden,8970306,2003
195,94.,Switzerland,7408319,2003
196,56.,Syria,17715352,2003
197,48.,Taiwan,22543468,2003
198,98.,Tajikistan,6567848,2003
199,33.,Tanzania,36198784,2003
200,19.,Thailand,63324000,2003
201,176.,The Bahamas,291347,2003
202,148.,The Gambia,1468917,2003
203,104.,Togo,5424964,2003
204,193.,Tonga,102089,2003
205,153.,Trinidad and Tobago,1242426,2003
206,80.,Tunisia,9811647,2003
207,16.,Turkey,70548632,2003
208,114.,Turkmenistan,4556130,2003
209,218.,Turks and Caicos Islands,22920,2003
210,223.,Tuvalu,10060,2003
211,189.,U.S. Virgin Islands,109148,2003
212,39.,Uganda,26321962,2003
213,25.,Ukraine,47667080,2003
214,127.,United Arab Emirates,3731700,2003
215,21.,United Kingdom,59823620,2003
216,3.,United States of America,290326432,2003
217,130.,Uruguay,3250653,2003
218,41.,Uzbekistan,25992144,2003
219,182.,Vanuatu,199713,2003
220,45.,Venezuela,24545434,2003
221,14.,Vietnam,82296592,2003
222,220.,Wallis and Futuna,14952,2003
223,140.,West Bank,2140843,2003
224,173.,Western Sahara,383404,2003
225,54.,Yemen,19134114,2003
226,71.,Zambia,11172505,2003
227,68.,Zimbabwe,11815518,2003
