,rank,country,population,year
0,42.,Afghanistan,27387084,2007
1,133.,Albania,2991575,2007
2,35.,Algeria,33362742,2007
3,203.,American Samoa,64025,2007
4,200.,Andorra,80757,2007
5,62.,Angola,15651757,2007
6,221.,Anguilla,13781,2007
7,198.,Antigua and Barbuda,83425,2007
8,31.,Argentina,40048816,2007
9,135.,Armenia,2971650,2007
10,194.,Aruba,100018,2007
11,53.,Australia,20749624,2007
12,92.,Austria,8199783,2007
13,89.,Azerbaijan,9015038,2007
14,158.,Bahrain,1053582,2007
15,8.,Bangladesh,148893744,2007
16,179.,Barbados,282359,2007
17,82.,Belarus,9724723,2007
18,76.,Belgium,10392226,2007
19,178.,Belize,294610,2007
20,91.,Benin,8278158,2007
21,202.,Bermuda,66921,2007
22,164.,Bhutan,673353,2007
23,86.,Bolivia,9425936,2007
24,118.,Bosnia and Herzegovina,4552198,2007
25,146.,Botswana,1913422,2007
26,5.,Brazil,193918576,2007
27,218.,British Virgin Islands,27460,2007
28,174.,Brunei,374577,2007
29,96.,Bulgaria,7322858,2007
30,63.,Burkina Faso,14797172,2007
31,90.,Burundi,8782936,2007
32,67.,Cambodia,13718693,2007
33,58.,Cameroon,18060382,2007
34,36.,Canada,32935960,2007
35,170.,Cape Verde,485994,2007
36,210.,Cayman Islands,46690,2007
37,119.,Central African Republic,4543731,2007
38,81.,Chad,9885661,2007
39,196.,Channel Islands,90452,2007
40,61.,Chile,16303851,2007
41,1.,China,1310583552,2007
42,29.,Colombia,42597320,2007
43,165.,Comoros,656937,2007
44,222.,Cook Islands,12691,2007
45,123.,Costa Rica,4331130,2007
46,56.,Cote d'Ivoire,19746948,2007
47,120.,Croatia,4493312,2007
48,73.,Cuba,11160137,2007
49,159.,Cyprus,1048906,2007
50,77.,Czech Republic,10228744,2007
51,20.,Democratic Republic of the Congo,64355016,2007
52,107.,Denmark,5468120,2007
53,162.,Djibouti,694379,2007
54,201.,Dominica,72377,2007
55,85.,Dominican Republic,9426233,2007
56,157.,East Timor,1086174,2007
57,66.,Ecuador,14134956,2007
58,16.,Egypt,75676536,2007
59,105.,El Salvador,5981752,2007
60,166.,Equatorial Guinea,599763,2007
61,110.,Eritrea,5357676,2007
62,152.,Estonia,1315912,2007
63,15.,Ethiopia,79935800,2007
64,209.,Faroe Islands,48489,2007
65,190.,Federated States of Micronesia,107848,2007
66,160.,Fiji,852114,2007
67,112.,Finland,5238460,2007
68,21.,France,63681744,2007
69,180.,French Polynesia,259838,2007
70,150.,Gabon,1456451,2007
71,151.,Gaza Strip,1449214,2007
72,116.,Georgia,4646003,2007
73,14.,Germany,82236864,2007
74,48.,Ghana,22980704,2007
75,217.,Gibraltar,28610,2007
76,74.,Greece,10706290,2007
77,207.,Greenland,57527,2007
78,191.,Grenada,105887,2007
79,185.,Guam,173544,2007
80,69.,Guatemala,12728111,2007
81,204.,Guernsey,63744,2007
82,83.,Guinea,9569216,2007
83,149.,Guinea-Bissau,1472780,2007
84,161.,Guyana,763809,2007
85,84.,Haiti,9500493,2007
86,94.,Honduras,7516214,2007
87,99.,Hong Kong,6980412,2007
88,80.,Hungary,10034228,2007
89,177.,Iceland,301931,2007
90,2.,India,1124134784,2007
91,4.,Indonesia,234694000,2007
92,18.,Iran,74093272,2007
93,41.,Iraq,27500156,2007
94,122.,Ireland,4419984,2007
95,199.,Isle of Man,81347,2007
96,98.,Israel,6990062,2007
97,23.,Italy,59626720,2007
98,138.,Jamaica,2782221,2007
99,10.,Japan,127779040,2007
100,104.,Jordan,5997193,2007
101,59.,Kazakhstan,16459828,2007
102,34.,Kenya,37408876,2007
103,195.,Kiribati,95479,2007
104,147.,Kosovo,1785477,2007
105,139.,Kuwait,2375798,2007
106,111.,Kyrgyzstan,5284149,2007
107,103.,Laos,6035414,2007
108,141.,Latvia,2259810,2007
109,126.,Lebanon,3895559,2007
110,145.,Lesotho,1916857,2007
111,131.,Liberia,3269937,2007
112,101.,Libya,6049895,2007
113,212.,Liechtenstein,35390,2007
114,129.,Lithuania,3575439,2007
115,171.,Luxembourg,480222,2007
116,167.,Macau,525531,2007
117,143.,Macedonia,2055915,2007
118,57.,Madagascar,19448816,2007
119,64.,Malawi,14232793,2007
120,44.,Malaysia,26895560,2007
121,175.,Maldives,364968,2007
122,68.,Mali,12768793,2007
123,173.,Malta,401880,2007
124,205.,Marshall Islands,61815,2007
125,134.,Mauritania,2981452,2007
126,155.,Mauritius,1263899,2007
127,183.,Mayotte,194367,2007
128,11.,Mexico,108700888,2007
129,127.,Moldova,3855442,2007
130,214.,Monaco,30834,2007
131,136.,Mongolia,2951786,2007
132,163.,Montenegro,684736,2007
