,rank,country,population,year
0,45.,Afghanistan,23600088,2002
1,131.,Albania,3098028,2002
2,36.,Algeria,31312480,2002
3,205.,American Samoa,59635,2002
4,202.,Andorra,65986,2002
5,62.,Angola,13364900,2002
6,222.,Anguilla,12113,2002
7,198.,Antigua and Barbuda,77935,2002
8,31.,Argentina,37999448,2002
9,132.,Armenia,3013818,2002
10,194.,Aruba,92170,2002
11,51.,Australia,19534938,2002
12,89.,Austria,8148312,2002
13,85.,Azerbaijan,8597653,2002
14,162.,Bahrain,714831,2002
15,8.,Bangladesh,136869840,2002
16,178.,Barbados,276218,2002
17,79.,Belarus,9955189,2002
18,75.,Belgium,10311970,2002
19,179.,Belize,261298,2002
20,95.,Benin,7064487,2002
21,203.,Bermuda,64182,2002
22,164.,Bhutan,625943,2002
23,86.,Bolivia,8542488,2002
24,119.,Bosnia and Herzegovina,4165416,2002
25,146.,Botswana,1746177,2002
26,5.,Brazil,181417584,2002
27,217.,British Virgin Islands,23857,2002
28,174.,Brunei,339989,2002
29,91.,Bulgaria,7661799,2002
30,65.,Burkina Faso,12584957,2002
31,94.,Burundi,7286793,2002
32,64.,Cambodia,12729204,2002
33,59.,Cameroon,16094435,2002
34,35.,Canada,31640962,2002
35,170.,Cape Verde,446704,2002
36,210.,Cayman Islands,40804,2002
37,120.,Central African Republic,4128418,2002
38,88.,Chad,8436193,2002
39,196.,Channel Islands,87970,2002
40,61.,Chile,15503941,2002
41,1.,China,1277594752,2002
42,29.,Colombia,39804948,2002
43,165.,Comoros,574470,2002
44,220.,Cook Islands,15147,2002
45,122.,Costa Rica,4020945,2002
46,55.,Cote d'Ivoire,17687648,2002
47,116.,Croatia,4481020,2002
48,71.,Cuba,11131594,2002
49,157.,Cyprus,946814,2002
50,76.,Czech Republic,10256295,2002
51,23.,Democratic Republic of the Congo,55701640,2002
52,105.,Denmark,5374693,2002
53,161.,Djibouti,716351,2002
54,201.,Dominica,71534,2002
55,83.,Dominican Republic,8756901,2002
56,156.,East Timor,953241,2002
57,63.,Ecuador,12827279,2002
58,18.,Egypt,68023120,2002
59,100.,El Salvador,5901830,2002
60,166.,Equatorial Guinea,520764,2002
61,114.,Eritrea,4505426,2002
62,149.,Estonia,1360122,2002
63,17.,Ethiopia,68187272,2002
64,208.,Faroe Islands,47349,2002
65,190.,Federated States of Micronesia,108034,2002
66,158.,Fiji,816669,2002
67,107.,Finland,5193039,2002
68,20.,France,61828992,2002
69,180.,French Polynesia,244185,2002
70,151.,Gabon,1300423,2002
71,153.,Gaza Strip,1213041,2002
72,112.,Georgia,4728357,2002
73,13.,Germany,82458416,2002
74,50.,Ghana,20661458,2002
75,214.,Gibraltar,28201,2002
76,73.,Greece,10603863,2002
77,206.,Greenland,57363,2002
78,192.,Grenada,102835,2002
79,185.,Guam,161057,2002
80,69.,Guatemala,11506669,2002
81,204.,Guernsey,62370,2002
82,87.,Guinea,8520304,2002
83,150.,Guinea-Bissau,1333120,2002
84,159.,Guyana,782726,2002
85,84.,Haiti,8723188,2002
86,97.,Honduras,6693687,2002
87,96.,Hong Kong,6762476,2002
88,77.,Hungary,10112777,2002
89,177.,Iceland,288030,2002
90,2.,India,1040284800,2002
91,4.,Indonesia,220018672,2002
92,15.,Iran,70283736,2002
93,44.,Iraq,24004048,2002
94,123.,Ireland,3933126,2002
95,199.,Isle of Man,77190,2002
96,99.,Israel,6369540,2002
97,22.,Italy,58076704,2002
98,136.,Jamaica,2664984,2002
99,10.,Japan,127371376,2002
100,111.,Jordan,4902055,2002
101,60.,Kazakhstan,15802133,2002
102,34.,Kenya,32313484,2002
103,195.,Kiribati,88264,2002
104,147.,Kosovo,1737479,2002
105,141.,Kuwait,2083305,2002
106,110.,Kyrgyzstan,4959164,2002
107,102.,Laos,5578027,2002
108,139.,Latvia,2340205,2002
109,126.,Lebanon,3835463,2002
110,145.,Lesotho,1925636,2002
111,134.,Liberia,2753037,2002
112,104.,Libya,5379239,2002
113,211.,Liechtenstein,33821,2002
114,127.,Lithuania,3633232,2002
115,169.,Luxembourg,450786,2002
116,171.,Macau,438977,2002
117,142.,Macedonia,2030445,2002
118,57.,Madagascar,16725885,2002
119,66.,Malawi,12460086,2002
120,42.,Malaysia,24282608,2002
121,175.,Maldives,311855,2002
122,70.,Mali,11219689,2002
123,172.,Malta,393515,2002
124,207.,Marshall Islands,55163,2002
125,137.,Mauritania,2631845,2002
126,154.,Mauritius,1209590,2002
127,184.,Mayotte,172330,2002
128,11.,Mexico,102479928,2002
129,121.,Moldova,4088890,2002
130,212.,Monaco,31654,2002
131,135.,Mongolia,2744553,2002
132,160.,Montenegro,720230,2002
133,228.,Montserrat,4810,2002
134,37.,Morocco,28838896,2002
135,53.,Mozambique,18801884,2002
136,24.,Myanmar,48715744,2002
137,144.,Namibia,1960672,2002
138,224.,Nauru,9916,2002
139,39.,Nepal,25815050,2002
140,58.,Netherlands,16145467,2002
141,188.,Netherlands Antilles,131711,2002
142,181.,New Caledonia,219443,2002
143,124.,New Zealand,3898456,2002
144,109.,Nicaragua,5035653,2002
145,68.,Niger,11792076,2002
146,9.,Nigeria,130863000,2002
147,46.,North Korea,23165024,2002
148,200.,Northern Mariana Islands,74372,2002
149,113.,Norway,4535591,2002
150,138.,Oman,2541078,2002
151,6.,Pakistan,160269232,2002
152,219.,Palau,19821,2002
153,133.,Panama,3003421,2002
154,108.,Papua New Guinea,5062602,2002
155,101.,Paraguay,5626892,2002
156,38.,Peru,26479980,2002
157,12.,Philippines,84936408,2002
158,30.,Poland,38625976,2002
159,74.,Portugal,10433867,2002
160,125.,Puerto Rico,3858272,2002
161,163.,Qatar,703387,2002
162,129.,Republic of Congo,3330421,2002
163,48.,Romania,22365752,2002
164,7.,Russia,145162624,2002
165,82.,Rwanda,8857375,2002
166,225.,Saint Barthélemy,7411,2002
167,226.,Saint Helena,7335,2002
168,209.,Saint Kitts and Nevis,46685,2002
169,186.,Saint Lucia,155297,2002
170,216.,Saint Martin,27450,2002
171,227.,Saint Pierre and Miquelon,6332,2002
172,191.,Saint Vincent and the Grenadines,107262,2002
173,183.,Samoa,179429,2002
174,215.,San Marino,28191,2002
175,187.,Sao Tome and Principe,147133,2002
176,49.,Saudi Arabia,22274040,2002
177,78.,Senegal,9972439,2002
178,92.,Serbia,7544319,2002
179,197.,Seychelles,81125,2002
180,117.,Sierra Leone,4286828,2002
181,118.,Singapore,4281211,2002
182,213.,Sint Maarten,30636,2002
183,103.,Slovakia,5410052,2002
184,143.,Slovenia,2011497,2002
185,168.,Solomon Islands,458223,2002
186,90.,Somalia,8016757,2002
187,27.,South Africa,46076952,2002
188,26.,South Korea,47437276,2002
189,28.,Spain,41639616,2002
190,52.,Sri Lanka,19478732,2002
191,32.,Sudan,35926600,2002
192,167.,Suriname,480008,2002
193,155.,Swaziland,1193707,2002
194,81.,Sweden,8954175,2002
195,93.,Switzerland,7361757,2002
196,56.,Syria,17299818,2002
197,47.,Taiwan,22450626,2002
198,98.,Tajikistan,6452011,2002
