,rank,country,population,year
0,41.,Afghanistan,27154386,2006
1,133.,Albania,3005779,2006
2,35.,Algeria,32959252,2006
3,204.,American Samoa,63217,2006
4,200.,Andorra,78294,2006
5,62.,Angola,15202271,2006
6,221.,Anguilla,13450,2006
7,198.,Antigua and Barbuda,82343,2006
8,30.,Argentina,39614432,2006
9,134.,Armenia,2976372,2006
10,194.,Aruba,98496,2006
11,53.,Australia,20489472,2006
12,91.,Austria,8192880,2006
13,89.,Azerbaijan,8919169,2006
14,159.,Bahrain,984393,2006
15,7.,Bangladesh,146517104,2006
16,179.,Barbados,281207,2006
17,81.,Belarus,9765736,2006
18,76.,Belgium,10379067,2006
19,178.,Belize,287953,2006
20,92.,Benin,8031708,2006
21,202.,Bermuda,66436,2006
22,164.,Bhutan,664205,2006
23,86.,Bolivia,9249710,2006
24,118.,Bosnia and Herzegovina,4498976,2006
25,146.,Botswana,1875778,2006
26,5.,Brazil,191469008,2006
27,218.,British Virgin Islands,26675,2006
28,174.,Brunei,367819,2006
29,95.,Bulgaria,7385367,2006
30,63.,Burkina Faso,14343529,2006
31,90.,Burundi,8464511,2006
32,67.,Cambodia,13498711,2006
33,58.,Cameroon,17657856,2006
34,36.,Canada,32656680,2006
35,170.,Cape Verde,478309,2006
36,210.,Cayman Islands,45517,2006
37,120.,Central African Republic,4448948,2006
38,82.,Chad,9648955,2006
39,196.,Channel Islands,89245,2006
40,61.,Chile,16150835,2006
41,1.,China,1304261888,2006
42,29.,Colombia,42046248,2006
43,165.,Comoros,640080,2006
44,222.,Cook Islands,13132,2006
45,122.,Costa Rica,4269766,2006
46,55.,Cote d'Ivoire,19326800,2006
47,119.,Croatia,4494749,2006
48,72.,Cuba,11179829,2006
49,158.,Cyprus,1031030,2006
50,77.,Czech Republic,10235455,2006
51,21.,Democratic Republic of the Congo,62522208,2006
52,107.,Denmark,5450661,2006
53,163.,Djibouti,679141,2006
54,201.,Dominica,72247,2006
55,85.,Dominican Republic,9295039,2006
56,157.,East Timor,1063840,2006
57,64.,Ecuador,13917057,2006
58,16.,Egypt,74100592,2006
59,101.,El Salvador,5970893,2006
60,166.,Equatorial Guinea,583355,2006
61,111.,Eritrea,5214330,2006
62,152.,Estonia,1324333,2006
63,15.,Ethiopia,77411400,2006
64,208.,Faroe Islands,48322,2006
65,190.,Federated States of Micronesia,107986,2006
66,160.,Fiji,843945,2006
67,110.,Finland,5231372,2006
68,20.,France,63292516,2006
69,180.,French Polynesia,256802,2006
70,150.,Gabon,1426392,2006
71,151.,Gaza Strip,1399202,2006
72,116.,Georgia,4661473,2006
73,14.,Germany,82346368,2006
74,49.,Ghana,22524376,2006
75,216.,Gibraltar,28535,2006
76,74.,Greece,10688058,2006
77,207.,Greenland,57638,2006
78,192.,Grenada,105202,2006
79,185.,Guam,171086,2006
80,68.,Guatemala,12454747,2006
81,203.,Guernsey,63433,2006
82,84.,Guinea,9345729,2006
83,149.,Guinea-Bissau,1442747,2006
84,161.,Guyana,770214,2006
85,83.,Haiti,9357561,2006
86,96.,Honduras,7355157,2006
87,98.,Hong Kong,6940432,2006
88,79.,Hungary,10046269,2006
89,176.,Iceland,299388,2006
90,2.,India,1107624320,2006
91,4.,Indonesia,231820240,2006
92,18.,Iran,73184400,2006
93,43.,Iraq,26784180,2006
94,121.,Ireland,4309024,2006
95,199.,Isle of Man,80472,2006
96,99.,Israel,6866876,2006
97,23.,Italy,59272880,2006
98,137.,Jamaica,2759614,2006
99,10.,Japan,127727576,2006
100,105.,Jordan,5617215,2006
101,60.,Kazakhstan,16283721,2006
102,34.,Kenya,36316148,2006
103,195.,Kiribati,94056,2006
104,147.,Kosovo,1776700,2006
105,139.,Kuwait,2316880,2006
106,112.,Kyrgyzstan,5213898,2006
107,102.,Laos,5930788,2006
108,141.,Latvia,2274735,2006
109,127.,Lebanon,3851099,2006
110,145.,Lesotho,1919198,2006
111,132.,Liberia,3107606,2006
112,103.,Libya,5913228,2006
113,211.,Liechtenstein,35164,2006
114,129.,Lithuania,3585906,2006
115,171.,Luxembourg,474413,2006
116,169.,Macau,499427,2006
117,142.,Macedonia,2050554,2006
118,57.,Madagascar,18872164,2006
119,65.,Malawi,13855681,2006
120,44.,Malaysia,26432158,2006
121,175.,Maldives,348119,2006
122,69.,Mali,12446533,2006
123,173.,Malta,400214,2006
124,206.,Marshall Islands,60451,2006
125,135.,Mauritania,2909101,2006
126,154.,Mauritius,1253425,2006
127,183.,Mayotte,190054,2006
128,11.,Mexico,107449528,2006
129,126.,Moldova,3901080,2006
130,213.,Monaco,30951,2006
131,136.,Mongolia,2908403,2006
132,162.,Montenegro,691871,2006
133,228.,Montserrat,4625,2006
134,37.,Morocco,30247772,2006
135,52.,Mozambique,20511666,2006
136,24.,Myanmar,51161672,2006
137,143.,Namibia,2049149,2006
138,224.,Nauru,9565,2006
139,40.,Nepal,27458952,2006
140,59.,Netherlands,16320437,2006
141,188.,Netherlands Antilles,137544,2006
142,181.,New Caledonia,236513,2006
143,124.,New Zealand,4089964,2006
144,109.,Nicaragua,5338287,2006
145,66.,Niger,13692952,2006
146,8.,Nigeria,145627520,2006
147,47.,North Korea,23764384,2006
148,205.,Northern Mariana Islands,60662,2006
149,117.,Norway,4610820,2006
150,138.,Oman,2748203,2006
151,6.,Pakistan,172381872,2006
152,219.,Palau,20466,2006
153,131.,Panama,3206481,2006
154,106.,Papua New Guinea,5565559,2006
155,100.,Paraguay,6020467,2006
156,39.,Peru,27749144,2006
157,12.,Philippines,92266944,2006
158,33.,Poland,38536868,2006
159,75.,Portugal,10605870,2006
160,125.,Puerto Rico,3926744,2006
161,156.,Qatar,1119914,2006
162,128.,Republic of Congo,3704056,2006
163,50.,Romania,22150478,2006
164,9.,Russia,142069488,2006
165,80.,Rwanda,9857219,2006
166,225.,Saint Barthélemy,7575,2006
167,226.,Saint Helena,7522,2006
168,209.,Saint Kitts and Nevis,48280,2006
169,187.,Saint Lucia,158128,2006
170,217.,Saint Martin,28414,2006
171,227.,Saint Pierre and Miquelon,6150,2006
172,191.,Saint Vincent and the Grenadines,105685,2006
173,184.,Samoa,186252,2006
174,215.,San Marino,29953,2006
175,186.,Sao Tome and Principe,161114,2006
176,46.,Saudi Arabia,24073196,2006
177,73.,Senegal,11096111,2006
178,94.,Serbia,7476102,2006
179,197.,Seychelles,84798,2006
180,113.,Sierra Leone,4817621,2006
181,115.,Singapore,4713561,2006
182,212.,Sint Maarten,34559,2006
183,108.,Slovakia,5439448,2006
184,144.,Slovenia,2010347,2006
185,168.,Solomon Islands,508382,2006
186,88.,Somalia,9008585,2006
187,26.,South Africa,47925668,2006
188,25.,South Korea,48123560,2006
189,28.,Spain,44431752,2006
190,54.,Sri Lanka,20311048,2006
191,31.,Sudan,39396396,2006
192,167.,Suriname,511895,2006
193,153.,Swaziland,1279797,2006
194,87.,Sweden,9016596,2006
195,93.,Switzerland,7523934,2006
196,56.,Syria,19322688,2006
197,48.,Taiwan,22781868,2006
198,97.,Tajikistan,6944062,2006
199,32.,Tanzania,38568536,2006
200,19.,Thailand,64677488,2006
201,177.,The Bahamas,299288,2006
202,148.,The Gambia,1588501,2006
203,104.,Togo,5865402,2006
204,193.,Tonga,103871,2006
205,155.,Trinidad and Tobago,1234559,2006
