,rank,country,population,year
0,40.,Afghanistan,30419928,2012
1,136.,Albania,3002859,2012
2,36.,Algeria,35406304,2012
3,204.,American Samoa,68061,2012
4,200.,Andorra,85082,2012
5,59.,Angola,18056072,2012
6,221.,Anguilla,15423,2012
7,198.,Antigua and Barbuda,89018,2012
8,33.,Argentina,42192496,2012
9,137.,Armenia,2970495,2012
10,191.,Aruba,107635,2012
11,54.,Australia,22015576,2012
12,93.,Austria,8219743,2012
13,90.,Azerbaijan,9493600,2012
14,156.,Bahrain,1248348,2012
15,8.,Bangladesh,161083808,2012
16,179.,Barbados,287733,2012
17,89.,Belarus,9542883,2012
18,81.,Belgium,10438353,2012
19,176.,Belize,327719,2012
20,88.,Benin,9598787,2012
21,202.,Bermuda,69080,2012
22,164.,Bhutan,716896,2012
23,82.,Bolivia,10290003,2012
24,121.,Bosnia and Herzegovina,4622292,2012
25,143.,Botswana,2098018,2012
26,5.,Brazil,205716896,2012
27,215.,British Virgin Islands,31148,2012
28,174.,Brunei,408786,2012
29,99.,Bulgaria,7037935,2012
30,61.,Burkina Faso,17275116,2012
31,80.,Burundi,10557259,2012
32,67.,Cambodia,14952665,2012
33,58.,Cameroon,20129878,2012
34,37.,Canada,34300084,2012
35,170.,Cape Verde,523568,2012
36,207.,Cayman Islands,52560,2012
37,116.,Central African Republic,5057208,2012
38,75.,Chad,10975648,2012
39,196.,Channel Islands,94949,2012
40,63.,Chile,17028744,2012
41,1.,China,1343239936,2012
42,29.,Colombia,45239080,2012
43,163.,Comoros,737284,2012
44,222.,Cook Islands,10777,2012
45,120.,Costa Rica,4636348,2012
46,55.,Cote d'Ivoire,21952092,2012
47,123.,Croatia,4480043,2012
48,74.,Cuba,11075244,2012
49,159.,Cyprus,1138071,2012
50,83.,Czech Republic,10177300,2012
51,19.,Democratic Republic of the Congo,73599192,2012
52,110.,Denmark,5543453,2012
53,161.,Djibouti,774389,2012
54,201.,Dominica,73126,2012
55,84.,Dominican Republic,10088598,2012
56,158.,East Timor,1201255,2012
57,66.,Ecuador,15223680,2012
58,15.,Egypt,83688160,2012
59,106.,El Salvador,6090646,2012
60,165.,Equatorial Guinea,685991,2012
61,107.,Eritrea,6086495,2012
62,155.,Estonia,1274709,2012
63,13.,Ethiopia,93815992,2012
64,209.,Faroe Islands,49483,2012
65,192.,Federated States of Micronesia,106487,2012
66,160.,Fiji,890057,2012
67,115.,Finland,5262930,2012
68,21.,France,65423024,2012
69,180.,French Polynesia,274512,2012
70,152.,Gabon,1608321,2012
71,150.,Gaza Strip,1710257,2012
72,122.,Georgia,4570934,2012
73,16.,Germany,81305856,2012
74,47.,Ghana,25241998,2012
75,218.,Gibraltar,29034,2012
76,78.,Greece,10767827,2012
77,206.,Greenland,57695,2012
78,190.,Grenada,109011,2012
79,185.,Guam,185674,2012
80,70.,Guatemala,14099032,2012
81,205.,Guernsey,65345,2012
82,76.,Guinea,10884958,2012
83,151.,Guinea-Bissau,1628603,2012
84,162.,Guyana,741908,2012
85,87.,Haiti,9801664,2012
86,92.,Honduras,8296693,2012
87,98.,Hong Kong,7153519,2012
88,86.,Hungary,9958453,2012
89,178.,Iceland,313183,2012
90,2.,India,1205073664,2012
91,4.,Indonesia,248216192,2012
92,18.,Iran,78868712,2012
93,39.,Iraq,31129224,2012
94,118.,Ireland,4722028,2012
95,199.,Isle of Man,85421,2012
96,96.,Israel,7590758,2012
97,23.,Italy,61261256,2012
98,138.,Jamaica,2889187,2012
99,10.,Japan,127368088,2012
100,104.,Jordan,6508887,2012
101,60.,Kazakhstan,17522010,2012
102,32.,Kenya,43013340,2012
103,195.,Kiribati,101998,2012
104,149.,Kosovo,1836529,2012
105,139.,Kuwait,2646314,2012
106,109.,Kyrgyzstan,5667822,2012
107,102.,Laos,6586266,2012
108,141.,Latvia,2191580,2012
109,126.,Lebanon,4140289,2012
110,147.,Lesotho,1930493,2012
111,128.,Liberia,3887886,2012
112,101.,Libya,6733620,2012
113,213.,Liechtenstein,36713,2012
114,130.,Lithuania,3525761,2012
115,172.,Luxembourg,509074,2012
116,168.,Macau,578025,2012
117,144.,Macedonia,2082370,2012
118,52.,Madagascar,22585516,2012
119,65.,Malawi,16323044,2012
120,43.,Malaysia,29179952,2012
121,175.,Maldives,394451,2012
122,68.,Mali,14533511,2012
123,173.,Malta,409836,2012
124,203.,Marshall Islands,68480,2012
125,132.,Mauritania,3359185,2012
126,154.,Mauritius,1313095,2012
127,183.,Mayotte,212604,2012
128,11.,Mexico,114975408,2012
129,129.,Moldova,3656843,2012
130,217.,Monaco,30510,2012
131,134.,Mongolia,3179997,2012
132,166.,Montenegro,657394,2012
133,228.,Montserrat,5164,2012
134,38.,Morocco,32309240,2012
135,50.,Mozambique,23515934,2012
136,24.,Myanmar,54584648,2012
137,142.,Namibia,2165828,2012
138,224.,Nauru,9378,2012
139,41.,Nepal,29890686,2012
140,64.,Netherlands,16730632,2012
141,188.,Netherlands Antilles,145834,2012
142,181.,New Caledonia,260166,2012
143,125.,New Zealand,4327944,2012
144,108.,Nicaragua,5727707,2012
145,62.,Niger,17078840,2012
