,rank,country,population,year
0,42.,Afghanistan,25697636,2004
1,132.,Albania,3045640,2004
2,35.,Algeria,32157666,2004
3,205.,American Samoa,61462,2004
4,201.,Andorra,73247,2004
5,62.,Angola,14315255,2004
6,222.,Anguilla,12782,2004
7,198.,Antigua and Barbuda,80193,2004
8,30.,Argentina,38741832,2004
9,133.,Armenia,2991360,2004
10,194.,Aruba,95461,2004
11,51.,Australia,19995076,2004
12,90.,Austria,8174762,2004
13,88.,Azerbaijan,8737809,2004
14,158.,Bahrain,848123,2004
15,8.,Bangladesh,141734400,2004
16,178.,Barbados,278818,2004
17,80.,Belarus,9855951,2004
18,76.,Belgium,10348276,2004
19,179.,Belize,274620,2004
20,92.,Benin,7526831,2004
21,203.,Bermuda,65337,2004
22,164.,Bhutan,645415,2004
23,87.,Bolivia,8895965,2004
24,119.,Bosnia and Herzegovina,4345591,2004
25,146.,Botswana,1807832,2004
26,5.,Brazil,186488592,2004
27,217.,British Virgin Islands,25140,2004
28,174.,Brunei,354305,2004
29,94.,Bulgaria,7517973,2004
30,63.,Burkina Faso,13478093,2004
31,91.,Burundi,7858726,2004
32,66.,Cambodia,13109935,2004
33,58.,Cameroon,16872750,2004
34,36.,Canada,32134764,2004
35,169.,Cape Verde,462795,2004
36,210.,Cayman Islands,43163,2004
37,120.,Central African Republic,4288752,2004
38,82.,Chad,9097655,2004
39,196.,Channel Islands,88171,2004
40,61.,Chile,15835631,2004
41,1.,China,1291001856,2004
42,29.,Colombia,40922152,2004
43,165.,Comoros,606260,2004
44,221.,Cook Islands,14086,2004
45,121.,Costa Rica,4146696,2004
46,55.,Cote d'Ivoire,18504380,2004
47,118.,Croatia,4496869,2004
48,72.,Cuba,11195182,2004
49,157.,Cyprus,987191,2004
50,77.,Czech Republic,10246178,2004
51,22.,Democratic Republic of the Congo,58942552,2004
52,106.,Denmark,5413392,2004
53,163.,Djibouti,657413,2004
54,202.,Dominica,71933,2004
55,84.,Dominican Republic,9032393,2004
56,156.,East Timor,1020054,2004
57,64.,Ecuador,13368398,2004
58,18.,Egypt,71009464,2004
59,100.,El Salvador,5935121,2004
60,166.,Equatorial Guinea,551415,2004
61,112.,Eritrea,4907337,2004
62,151.,Estonia,1341664,2004
63,15.,Ethiopia,72637208,2004
64,208.,Faroe Islands,48290,2004
65,190.,Federated States of Micronesia,108126,2004
66,159.,Fiji,829822,2004
67,108.,Finland,5214512,2004
68,20.,France,62534160,2004
69,180.,French Polynesia,250797,2004
70,150.,Gabon,1364412,2004
71,152.,Gaza Strip,1303009,2004
72,113.,Georgia,4693892,2004
73,14.,Germany,82487208,2004
74,50.,Ghana,21600976,2004
75,215.,Gibraltar,28407,2004
76,73.,Greece,10647529,2004
77,207.,Greenland,57702,2004
78,192.,Grenada,103969,2004
79,185.,Guam,166124,2004
80,68.,Guatemala,11939986,2004
81,204.,Guernsey,62859,2004
82,86.,Guinea,8971979,2004
83,149.,Guinea-Bissau,1386926,2004
84,161.,Guyana,779479,2004
85,83.,Haiti,9045691,2004
86,96.,Honduras,7029439,2004
87,97.,Hong Kong,6855125,2004
88,78.,Hungary,10072608,2004
89,177.,Iceland,293966,2004
90,2.,India,1074158976,2004
91,4.,Indonesia,226004128,2004
92,17.,Iran,71439504,2004
93,44.,Iraq,25376252,2004
94,122.,Ireland,4091162,2004
95,200.,Isle of Man,78744,2004
96,99.,Israel,6617728,2004
97,23.,Italy,58716000,2004
98,137.,Jamaica,2713001,2004
99,10.,Japan,127693752,2004
100,110.,Jordan,5128263,2004
101,60.,Kazakhstan,15988619,2004
102,34.,Kenya,34223440,2004
103,195.,Kiribati,91122,2004
104,147.,Kosovo,1757142,2004
105,140.,Kuwait,2197285,2004
106,111.,Kyrgyzstan,5081429,2004
107,102.,Laos,5746043,2004
108,139.,Latvia,2306306,2004
109,127.,Lebanon,3874493,2004
110,145.,Lesotho,1924895,2004
111,135.,Liberia,2795940,2004
112,103.,Libya,5643081,2004
113,211.,Liechtenstein,34574,2004
114,128.,Lithuania,3607899,2004
115,170.,Luxembourg,462690,2004
116,171.,Macau,455227,2004
117,142.,Macedonia,2040085,2004
118,57.,Madagascar,17768148,2004
119,65.,Malawi,13140138,2004
120,43.,Malaysia,25475464,2004
121,175.,Maldives,326599,2004
122,69.,Mali,11827325,2004
123,173.,Malta,396851,2004
124,206.,Marshall Islands,57760,2004
125,136.,Mauritania,2767954,2004
126,155.,Mauritius,1232059,2004
127,184.,Mayotte,181970,2004
128,11.,Mexico,104959592,2004
129,124.,Moldova,3994611,2004
130,213.,Monaco,31268,2004
131,134.,Mongolia,2824567,2004
132,162.,Montenegro,706577,2004
133,228.,Montserrat,4963,2004
134,37.,Morocco,29551508,2004
135,54.,Mozambique,19637084,2004
136,24.,Myanmar,49962204,2004
137,144.,Namibia,2006646,2004
138,224.,Nauru,9969,2004
139,40.,Nepal,26708316,2004
140,59.,Netherlands,16266338,2004
141,188.,Netherlands Antilles,134602,2004
142,181.,New Caledonia,228022,2004
143,123.,New Zealand,4008166,2004
144,109.,Nicaragua,5193390,2004
145,67.,Niger,12704657,2004
146,9.,Nigeria,138138176,2004
147,46.,North Korea,23476730,2004
148,199.,Northern Mariana Islands,78889,2004
149,116.,Norway,4574560,2004
150,138.,Oman,2645614,2004
151,6.,Pakistan,166223616,2004
152,219.,Palau,20163,2004
153,131.,Panama,3104177,2004
154,107.,Papua New Guinea,5313886,2004
155,101.,Paraguay,5828163,2004
156,39.,Peru,27129674,2004
157,12.,Philippines,88621784,2004
158,31.,Poland,38580444,2004
159,74.,Portugal,10524145,2004
160,126.,Puerto Rico,3893931,2004
161,160.,Qatar,825447,2004
162,129.,Republic of Congo,3503742,2004
163,49.,Romania,22247630,2004
164,7.,Russia,143507424,2004
165,81.,Rwanda,9361254,2004
166,225.,Saint Barthélemy,7557,2004
167,226.,Saint Helena,7434,2004
168,209.,Saint Kitts and Nevis,47529,2004
169,186.,Saint Lucia,156657,2004
170,216.,Saint Martin,27514,2004
171,227.,Saint Pierre and Miquelon,6246,2004
172,191.,Saint Vincent and the Grenadines,106479,2004
173,183.,Samoa,182772,2004
174,214.,San Marino,29212,2004
175,187.,Sao Tome and Principe,153970,2004
176,47.,Saudi Arabia,23200040,2004
177,75.,Senegal,10519120,2004
178,93.,Serbia,7522560,2004
179,197.,Seychelles,82970,2004
180,115.,Sierra Leone,4602202,2004
181,117.,Singapore,4498226,2004
182,212.,Sint Maarten,32771,2004
183,105.,Slovakia,5423567,2004
184,143.,Slovenia,2011473,2004
185,168.,Solomon Islands,483173,2004
186,89.,Somalia,8536641,2004
187,27.,South Africa,47032864,2004
188,25.,South Korea,47853848,2004
189,28.,Spain,43000156,2004
190,52.,Sri Lanka,19933590,2004
191,32.,Sudan,37442232,2004
192,167.,Suriname,495897,2004
193,154.,Swaziland,1237945,2004
194,85.,Sweden,8986400,2004
195,95.,Switzerland,7450867,2004
196,56.,Syria,18136820,2004
197,48.,Taiwan,22622388,2004
198,98.,Tajikistan,6688433,2004
199,33.,Tanzania,36989968,2004
200,19.,Thailand,63783952,2004
201,176.,The Bahamas,294064,2004
202,148.,The Gambia,1508001,2004
203,104.,Togo,5578206,2004
204,193.,Tonga,102703,2004
205,153.,Trinidad and Tobago,1239328,2004
206,79.,Tunisia,9913681,2004
207,16.,Turkey,71613544,2004
208,114.,Turkmenistan,4608471,2004
209,218.,Turks and Caicos Islands,24951,2004
210,223.,Tuvalu,10114,2004
211,189.,U.S. Virgin Islands,109353,2004
212,38.,Uganda,27233660,2004
213,26.,Ukraine,47305388,2004
214,125.,United Arab Emirates,3907949,2004
215,21.,United Kingdom,60126952,2004
216,3.,United States of America,293045728,2004
217,130.,Uruguay,3258465,2004
218,41.,Uzbekistan,26268096,2004
219,182.,Vanuatu,202927,2004
220,45.,Venezuela,24904616,2004
221,13.,Vietnam,83352448,2004
222,220.,Wallis and Futuna,15034,2004
223,141.,West Bank,2194168,2004
224,172.,Western Sahara,399736,2004
225,53.,Yemen,19733824,2004
226,71.,Zambia,11433704,2004
227,70.,Zimbabwe,11735046,2004
