,rank,country,population,year
0,40.,Afghanistan,32564342,2015
1,136.,Albania,3029278,2015
2,36.,Algeria,36640256,2015
3,203.,American Samoa,70586,2015
4,200.,Andorra,85580,2015
5,59.,Angola,19625352,2015
6,220.,Anguilla,16418,2015
7,197.,Antigua and Barbuda,92436,2015
8,33.,Argentina,43431888,2015
9,137.,Armenia,2983949,2015
10,189.,Aruba,112162,2015
11,55.,Australia,22751014,2015
12,93.,Austria,8224038,2015
13,89.,Azerbaijan,9780780,2015
14,154.,Bahrain,1346613,2015
15,8.,Bangladesh,168957744,2015
16,179.,Barbados,290604,2015
17,90.,Belarus,9438526,2015
18,84.,Belgium,10453761,2015
19,176.,Belize,347369,2015
20,85.,Benin,10448647,2015
21,204.,Bermuda,70196,2015
22,163.,Bhutan,741919,2015
23,80.,Bolivia,10800882,2015
24,122.,Bosnia and Herzegovina,4618228,2015
25,143.,Botswana,2182719,2015
26,5.,Brazil,212346064,2015
27,214.,British Virgin Islands,33454,2015
28,173.,Brunei,429646,2015
29,102.,Bulgaria,6867134,2015
30,61.,Burkina Faso,18931686,2015
31,76.,Burundi,11574246,2015
32,68.,Cambodia,15708756,2015
33,58.,Cameroon,21387300,2015
34,37.,Canada,35099836,2015
35,171.,Cape Verde,545993,2015
36,207.,Cayman Islands,56092,2015
37,115.,Central African Republic,5391539,2015
38,75.,Chad,11631456,2015
39,196.,Channel Islands,97294,2015
40,64.,Chile,17434684,2015
41,1.,China,1361512576,2015
42,29.,Colombia,46736728,2015
43,162.,Comoros,780971,2015
44,223.,Cook Islands,9838,2015
45,119.,Costa Rica,4814144,2015
46,52.,Cote d'Ivoire,23295302,2015
47,124.,Croatia,4464844,2015
48,78.,Cuba,11031433,2015
49,159.,Cyprus,1189197,2015
50,86.,Czech Republic,10129510,2015
51,19.,Democratic Republic of the Congo,79375136,2015
52,113.,Denmark,5581503,2015
53,161.,Djibouti,828324,2015
54,201.,Dominica,73607,2015
55,83.,Dominican Republic,10478756,2015
56,156.,East Timor,1272060,2015
57,66.,Ecuador,15868396,2015
58,15.,Egypt,88487392,2015
59,107.,El Salvador,6141350,2015
60,164.,Equatorial Guinea,740743,2015
61,106.,Eritrea,6527689,2015
62,157.,Estonia,1249312,2015
63,13.,Ethiopia,103134200,2015
64,210.,Faroe Islands,50196,2015
65,194.,Federated States of Micronesia,105216,2015
66,160.,Fiji,909389,2015
67,116.,Finland,5270966,2015
68,21.,France,66300964,2015
69,180.,French Polynesia,282703,2015
70,152.,Gabon,1705336,2015
71,150.,Gaza Strip,1869055,2015
72,123.,Georgia,4524962,2015
73,18.,Germany,80854408,2015
74,48.,Ghana,26584666,2015
75,218.,Gibraltar,29258,2015
76,81.,Greece,10775643,2015
77,206.,Greenland,57733,2015
78,190.,Grenada,110694,2015
79,186.,Guam,192651,2015
80,70.,Guatemala,14918999,2015
81,205.,Guernsey,66080,2015
82,74.,Guinea,11780162,2015
83,151.,Guinea-Bissau,1726170,2015
84,165.,Guyana,738605,2015
85,87.,Haiti,10110019,2015
86,92.,Honduras,8746673,2015
87,98.,Hong Kong,7235426,2015
88,88.,Hungary,9897541,2015
89,178.,Iceland,319395,2015
90,2.,India,1251695616,2015
91,4.,Indonesia,255759408,2015
92,17.,Iran,81824272,2015
93,39.,Iraq,33309836,2015
94,118.,Ireland,4892305,2015
95,199.,Isle of Man,87545,2015
96,95.,Israel,7935149,2015
97,23.,Italy,61855120,2015
98,138.,Jamaica,2950210,2015
99,10.,Japan,126919656,2015
100,105.,Jordan,6623279,2015
101,62.,Kazakhstan,18157122,2015
102,31.,Kenya,45925300,2015
103,193.,Kiribati,105711,2015
104,149.,Kosovo,1870981,2015
105,139.,Kuwait,2788534,2015
106,108.,Kyrgyzstan,5913292,2015
107,101.,Laos,6911544,2015
108,144.,Latvia,2151638,2015
109,127.,Lebanon,4151234,2015
110,148.,Lesotho,1947701,2015
111,126.,Liberia,4195666,2015
112,100.,Libya,7131872,2015
113,213.,Liechtenstein,37624,2015
114,132.,Lithuania,3495316,2015
115,172.,Luxembourg,526510,2015
116,168.,Macau,592731,2015
117,145.,Macedonia,2096015,2015
118,51.,Madagascar,24650868,2015
119,63.,Malawi,17715076,2015
120,42.,Malaysia,30513848,2015
121,175.,Maldives,393253,2015
122,67.,Mali,15718081,2015
123,174.,Malta,413965,2015
124,202.,Marshall Islands,72191,2015
125,130.,Mauritania,3596702,2015
126,155.,Mauritius,1339827,2015
127,183.,Mayotte,220115,2015
128,11.,Mexico,118689160,2015
129,131.,Moldova,3546847,2015
130,217.,Monaco,30535,2015
131,134.,Mongolia,3318100,2015
132,166.,Montenegro,647073,2015
133,228.,Montserrat,5241,2015
134,38.,Morocco,33322700,2015
135,49.,Mozambique,25303112,2015
136,24.,Myanmar,56320208,2015
137,141.,Namibia,2212307,2015
138,224.,Nauru,9540,2015
139,41.,Nepal,31551304,2015
140,65.,Netherlands,16947904,2015
141,188.,Netherlands Antilles,148406,2015
142,181.,New Caledonia,271615,2015
143,125.,New Zealand,4438393,2015
144,109.,Nicaragua,5907881,2015
145,60.,Niger,19034400,2015
146,7.,Nigeria,183528800,2015
147,50.,North Korea,24983204,2015
148,211.,Northern Mariana Islands,44397,2015
149,121.,Norway,4754045,2015
150,135.,Oman,3286936,2015
151,6.,Pakistan,199085840,2015
152,219.,Palau,21265,2015
153,129.,Panama,3657024,2015
154,104.,Papua New Guinea,6672429,2015
155,103.,Paraguay,6783272,2015
156,43.,Peru,30445000,2015
157,12.,Philippines,109615912,2015
158,35.,Poland,38301884,2015
159,79.,Portugal,10825309,2015
160,128.,Puerto Rico,4024106,2015
161,142.,Qatar,2194817,2015
162,120.,Republic of Congo,4754653,2015
163,57.,Romania,21666350,2015
164,9.,Russia,136009984,2015
165,73.,Rwanda,12661733,2015
166,226.,Saint Barthélemy,7237,2015
167,225.,Saint Helena,7795,2015
168,208.,Saint Kitts and Nevis,51936,2015
169,187.,Saint Lucia,163922,2015
170,216.,Saint Martin,31754,2015
171,227.,Saint Pierre and Miquelon,5657,2015
172,195.,Saint Vincent and the Grenadines,102627,2015
173,184.,Samoa,197773,2015
174,215.,San Marino,33020,2015
175,185.,Sao Tome and Principe,194006,2015
176,46.,Saudi Arabia,27752316,2015
177,72.,Senegal,13975834,2015
178,99.,Serbia,7176794,2015
179,198.,Seychelles,92430,2015
180,110.,Sierra Leone,5879098,2015
181,112.,Singapore,5674472,2015
182,212.,Sint Maarten,40888,2015
183,114.,Slovakia,5495998,2015
184,146.,Slovenia,1983412,2015
185,167.,Solomon Islands,622469,2015
186,82.,Somalia,10616380,2015
187,27.,South Africa,48286276,2015
188,26.,South Korea,49115196,2015
189,28.,Spain,48146136,2015
190,56.,Sri Lanka,22053488,2015
191,25.,Sudan,49779940,2015
192,169.,Suriname,579633,2015
193,153.,Swaziland,1435613,2015
194,91.,Sweden,9152946,2015
195,96.,Switzerland,7697812,2015
196,54.,Syria,22878524,2015
197,53.,Taiwan,23212448,2015
198,94.,Tajikistan,8191958,2015
199,30.,Tanzania,46122848,2015
200,20.,Thailand,68118744,2015
201,177.,The Bahamas,324597,2015
202,147.,The Gambia,1967709,2015
203,97.,Togo,7552318,2015
204,192.,Tonga,106501,2015
205,158.,Trinidad and Tobago,1222363,2015
206,77.,Tunisia,11037225,2015
207,16.,Turkey,82523056,2015
208,117.,Turkmenistan,5231422,2015
209,209.,Turks and Caicos Islands,50280,2015
210,222.,Tuvalu,10869,2015
211,191.,U.S. Virgin Islands,109246,2015
212,34.,Uganda,39941288,2015
213,32.,Ukraine,44008508,2015
214,111.,United Arab Emirates,5779760,2015
215,22.,United Kingdom,64088224,2015
216,3.,United States of America,322370752,2015
217,133.,Uruguay,3341893,2015
218,45.,Uzbekistan,29199942,2015
219,182.,Vanuatu,236486,2015
220,44.,Venezuela,29275460,2015
221,14.,Vietnam,94348832,2015
222,221.,Wallis and Futuna,15613,2015
223,140.,West Bank,2785366,2015
224,170.,Western Sahara,570866,2015
225,47.,Yemen,26667204,2015
226,69.,Zambia,15643908,2015
227,71.,Zimbabwe,14229541,2015
