,rank,country,population,year
0,40.,Afghanistan,29757566,2011
1,136.,Albania,2994667,2011
2,35.,Algeria,34994936,2011
3,203.,American Samoa,67242,2011
4,199.,Andorra,84825,2011
5,59.,Angola,17544728,2011
6,221.,Anguilla,15094,2011
7,198.,Antigua and Barbuda,87884,2011
8,33.,Argentina,41769728,2011
9,137.,Armenia,2967975,2011
10,192.,Aruba,106113,2011
11,55.,Australia,21766712,2011
12,92.,Austria,8217280,2011
13,89.,Azerbaijan,9397279,2011
14,157.,Bahrain,1214705,2011
15,8.,Bangladesh,158570528,2011
16,179.,Barbados,286705,2011
17,88.,Belarus,9577552,2011
18,80.,Belgium,10431477,2011
19,176.,Belize,321115,2011
20,90.,Benin,9325032,2011
21,202.,Bermuda,68679,2011
22,164.,Bhutan,708427,2011
23,83.,Bolivia,10118683,2011
24,120.,Bosnia and Herzegovina,4622163,2011
25,144.,Botswana,2065398,2011
26,5.,Brazil,203429776,2011
27,217.,British Virgin Islands,30391,2011
28,174.,Brunei,401890,2011
29,99.,Bulgaria,7093635,2011
30,62.,Burkina Faso,16751455,2011
31,81.,Burundi,10216190,2011
32,67.,Cambodia,14701717,2011
33,58.,Cameroon,19711292,2011
34,37.,Canada,34030588,2011
35,170.,Cape Verde,516100,2011
36,207.,Cayman Islands,51384,2011
37,117.,Central African Republic,4950027,2011
38,77.,Chad,10758945,2011
39,196.,Channel Islands,94161,2011
40,61.,Chile,16888760,2011
41,1.,China,1336717952,2011
42,30.,Colombia,44725544,2011
43,163.,Comoros,721886,2011
44,222.,Cook Islands,11124,2011
45,122.,Costa Rica,4576562,2011
46,56.,Cote d'Ivoire,21504162,2011
47,123.,Croatia,4483804,2011
48,74.,Cuba,11087330,2011
49,159.,Cyprus,1120489,2011
50,82.,Czech Republic,10190213,2011
51,19.,Democratic Republic of the Congo,71712864,2011
52,110.,Denmark,5529888,2011
53,161.,Djibouti,757074,2011
54,201.,Dominica,72969,2011
55,85.,Dominican Republic,9956648,2011
56,158.,East Timor,1177834,2011
57,66.,Ecuador,15007343,2011
58,15.,Egypt,82079632,2011
59,106.,El Salvador,6071774,2011
60,165.,Equatorial Guinea,668225,2011
61,107.,Eritrea,5939484,2011
62,155.,Estonia,1282963,2011
63,13.,Ethiopia,90873736,2011
64,209.,Faroe Islands,49267,2011
65,191.,Federated States of Micronesia,106836,2011
66,160.,Fiji,883125,2011
67,113.,Finland,5259250,2011
68,21.,France,65102720,2011
69,180.,French Polynesia,271687,2011
70,152.,Gabon,1576665,2011
71,150.,Gaza Strip,1657155,2011
72,121.,Georgia,4585874,2011
73,16.,Germany,81471832,2011
74,47.,Ghana,24791072,2011
75,218.,Gibraltar,28956,2011
76,76.,Greece,10760136,2011
77,206.,Greenland,57670,2011
78,190.,Grenada,108419,2011
79,185.,Guam,183286,2011
80,70.,Guatemala,13824463,2011
81,205.,Guernsey,65068,2011
82,79.,Guinea,10601009,2011
83,151.,Guinea-Bissau,1596677,2011
84,162.,Guyana,744768,2011
85,87.,Haiti,9719932,2011
86,93.,Honduras,8143564,2011
87,98.,Hong Kong,7122508,2011
88,84.,Hungary,9976062,2011
89,178.,Iceland,311058,2011
90,2.,India,1189172864,2011
91,4.,Indonesia,245613040,2011
92,18.,Iran,77891216,2011
93,39.,Iraq,30399572,2011
94,119.,Ireland,4670976,2011
95,200.,Isle of Man,84655,2011
96,96.,Israel,7473052,2011
97,23.,Italy,61016804,2011
98,138.,Jamaica,2868380,2011
99,10.,Japan,127469544,2011
100,102.,Jordan,6508271,2011
101,60.,Kazakhstan,17304512,2011
102,32.,Kenya,41943504,2011
103,195.,Kiribati,100743,2011
104,148.,Kosovo,1825632,2011
105,139.,Kuwait,2595628,2011
106,109.,Kyrgyzstan,5587443,2011
107,103.,Laos,6477211,2011
108,141.,Latvia,2204708,2011
109,126.,Lebanon,4143101,2011
110,146.,Lesotho,1924886,2011
111,128.,Liberia,3786764,2011
112,101.,Libya,6597960,2011
113,213.,Liechtenstein,36422,2011
114,130.,Lithuania,3535547,2011
115,172.,Luxembourg,503302,2011
116,167.,Macau,573003,2011
117,143.,Macedonia,2077328,2011
118,53.,Madagascar,21926220,2011
119,65.,Malawi,15879252,2011
120,43.,Malaysia,28728608,2011
121,175.,Maldives,394999,2011
122,68.,Mali,14159904,2011
123,173.,Malta,408333,2011
124,204.,Marshall Islands,67182,2011
125,133.,Mauritania,3281634,2011
126,154.,Mauritius,1303717,2011
127,183.,Mayotte,209530,2011
128,11.,Mexico,113724224,2011
129,129.,Moldova,3694121,2011
130,216.,Monaco,30539,2011
131,134.,Mongolia,3133318,2011
132,166.,Montenegro,661807,2011
133,228.,Montserrat,5140,2011
134,38.,Morocco,31968360,2011
135,51.,Mozambique,22948858,2011
136,24.,Myanmar,53999804,2011
137,142.,Namibia,2147585,2011
138,224.,Nauru,9322,2011
139,41.,Nepal,29391884,2011
140,63.,Netherlands,16653734,2011
141,188.,Netherlands Antilles,144688,2011
142,181.,New Caledonia,256275,2011
143,124.,New Zealand,4290347,2011
144,108.,Nicaragua,5666301,2011
145,64.,Niger,16468886,2011
146,7.,Nigeria,165822576,2011
147,48.,North Korea,24457492,2011
