,rank,country,population,year
0,42.,Afghanistan,26334702,2005
1,132.,Albania,3024533,2005
2,35.,Algeria,32560736,2005
3,205.,American Samoa,62399,2005
4,200.,Andorra,76122,2005
5,62.,Angola,14769556,2005
6,222.,Anguilla,13116,2005
7,198.,Antigua and Barbuda,81277,2005
8,30.,Argentina,39181260,2005
9,133.,Armenia,2982904,2005
10,194.,Aruba,96976,2005
11,52.,Australia,20232346,2005
12,90.,Austria,8184691,2005
13,88.,Azerbaijan,8825439,2005
14,159.,Bahrain,915966,2005
15,7.,Bangladesh,144138736,2005
16,179.,Barbados,280037,2005
17,80.,Belarus,9809130,2005
18,76.,Belgium,10364388,2005
19,178.,Belize,281289,2005
20,92.,Benin,7777709,2005
21,203.,Bermuda,65910,2005
22,164.,Bhutan,654897,2005
23,86.,Bolivia,9072944,2005
24,119.,Bosnia and Herzegovina,4430494,2005
25,146.,Botswana,1840116,2005
26,5.,Brazil,188993072,2005
27,218.,British Virgin Islands,25869,2005
28,174.,Brunei,361110,2005
29,95.,Bulgaria,7450349,2005
30,63.,Burkina Faso,13903886,2005
31,91.,Burundi,8161938,2005
32,66.,Cambodia,13297399,2005
33,58.,Cameroon,17261468,2005
34,36.,Canada,32386378,2005
35,170.,Cape Verde,470597,2005
36,210.,Cayman Islands,44340,2005
37,120.,Central African Republic,4363038,2005
38,82.,Chad,9400658,2005
39,196.,Channel Islands,88491,2005
40,61.,Chile,15995043,2005
41,1.,China,1297765376,2005
42,29.,Colombia,41487776,2005
43,165.,Comoros,623059,2005
44,221.,Cook Islands,13597,2005
45,121.,Costa Rica,4208691,2005
46,55.,Cote d'Ivoire,18920502,2005
47,118.,Croatia,4495904,2005
48,72.,Cuba,11198439,2005
49,157.,Cyprus,1010740,2005
50,77.,Czech Republic,10241138,2005
51,21.,Democratic Republic of the Congo,60698056,2005
52,106.,Denmark,5432335,2005
53,163.,Djibouti,666400,2005
54,201.,Dominica,72125,2005
55,84.,Dominican Republic,9164472,2005
56,156.,East Timor,1041806,2005
57,64.,Ecuador,13662318,2005
58,17.,Egypt,72543512,2005
59,100.,El Salvador,5956221,2005
60,166.,Equatorial Guinea,567232,2005
61,112.,Eritrea,5069562,2005
62,152.,Estonia,1332893,2005
63,15.,Ethiopia,74980296,2005
64,208.,Faroe Islands,48307,2005
65,190.,Federated States of Micronesia,108082,2005
66,160.,Fiji,836558,2005
67,110.,Finland,5223442,2005
68,20.,France,62911524,2005
69,180.,French Polynesia,253764,2005
70,150.,Gabon,1395690,2005
71,151.,Gaza Strip,1350411,2005
72,114.,Georgia,4677401,2005
73,14.,Germany,82439416,2005
74,50.,Ghana,22062384,2005
75,215.,Gibraltar,28464,2005
76,74.,Greece,10668354,2005
77,207.,Greenland,57780,2005
78,192.,Grenada,104592,2005
79,185.,Guam,168614,2005
80,68.,Guatemala,12182548,2005
81,204.,Guernsey,63133,2005
82,85.,Guinea,9153730,2005
83,149.,Guinea-Bissau,1414159,2005
84,161.,Guyana,776497,2005
85,83.,Haiti,9204669,2005
86,96.,Honduras,7193065,2005
