,rank,country,population,year
0,39.,Afghanistan,34124812,2017
1,136.,Albania,3047987,2017
2,36.,Algeria,37443708,2017
3,203.,American Samoa,72334,2017
4,200.,Andorra,85702,2017
5,59.,Angola,20728848,2017
6,220.,Anguilla,17087,2017
7,197.,Antigua and Barbuda,94731,2017
8,32.,Argentina,44228776,2017
9,137.,Armenia,2995887,2017
10,189.,Aruba,115120,2017
11,55.,Australia,23232412,2017
12,94.,Austria,8224442,2017
13,88.,Azerbaijan,9961396,2017
14,154.,Bahrain,1410942,2017
15,8.,Bangladesh,174494064,2017
16,179.,Barbados,292336,2017
17,90.,Belarus,9365993,2017
18,85.,Belgium,10460491,2017
19,176.,Belize,360346,2017
20,79.,Benin,11038805,2017
21,204.,Bermuda,70864,2017
22,164.,Bhutan,758288,2017
23,78.,Bolivia,11138234,2017
24,122.,Bosnia and Herzegovina,4610730,2017
25,143.,Botswana,2235533,2017
26,5.,Brazil,216571824,2017
27,214.,British Virgin Islands,35015,2017
28,173.,Brunei,443593,2017
29,106.,Bulgaria,6749824,2017
30,61.,Burkina Faso,20107508,2017
31,75.,Burundi,12292976,2017
32,69.,Cambodia,16204486,2017
33,57.,Cameroon,22223452,2017
34,37.,Canada,35623680,2017
35,171.,Cape Verde,560899,2017
36,206.,Cayman Islands,58441,2017
37,113.,Central African Republic,5625118,2017
38,76.,Chad,12075985,2017
39,196.,Channel Islands,98840,2017
40,64.,Chile,17693176,2017
41,1.,China,1372088192,2017
42,30.,Colombia,47698524,2017
43,162.,Comoros,808080,2017
44,224.,Cook Islands,9290,2017
45,120.,Costa Rica,4930258,2017
46,52.,Cote d'Ivoire,24184810,2017
47,125.,Croatia,4451584,2017
48,81.,Cuba,10996124,2017
49,158.,Cyprus,1221549,2017
50,87.,Czech Republic,10089091,2017
51,18.,Democratic Republic of the Congo,83301152,2017
52,114.,Denmark,5605948,2017
53,161.,Djibouti,865267,2017
54,202.,Dominica,73897,2017
55,84.,Dominican Republic,10734247,2017
56,156.,East Timor,1319178,2017
57,68.,Ecuador,16290913,2017
58,15.,Egypt,91635232,2017
59,107.,El Salvador,6172011,2017
60,163.,Equatorial Guinea,778358,2017
61,105.,Eritrea,6821292,2017
62,157.,Estonia,1231466,2017
63,13.,Ethiopia,109777112,2017
64,210.,Faroe Islands,50730,2017
65,194.,Federated States of Micronesia,104196,2017
66,160.,Fiji,920938,2017
67,117.,Finland,5273465,2017
68,21.,France,66822008,2017
69,180.,French Polynesia,287881,2017
70,152.,Gabon,1772255,2017
71,147.,Gaza Strip,1972617,2017
72,124.,Georgia,4492181,2017
73,19.,Germany,80594016,2017
74,48.,Ghana,27470168,2017
75,218.,Gibraltar,29396,2017
76,83.,Greece,10768477,2017
77,207.,Greenland,57713,2017
78,190.,Grenada,111724,2017
