,rank,country,population,year
0,46.,Afghanistan,22461348,2000
1,130.,Albania,3158352,2000
2,36.,Algeria,30429228,2000
3,205.,American Samoa,57771,2000
4,202.,Andorra,65099,2000
5,62.,Angola,12682502,2000
6,222.,Anguilla,11426,2000
7,199.,Antigua and Barbuda,75351,2000
8,31.,Argentina,37335652,2000
9,132.,Armenia,3042556,2000
10,194.,Aruba,89995,2000
11,51.,Australia,19053186,2000
12,88.,Austria,8113413,2000
13,83.,Azerbaijan,8463076,2000
14,162.,Bahrain,654861,2000
15,8.,Bangladesh,132150768,2000
16,178.,Barbados,273680,2000
17,78.,Belarus,10033697,2000
18,76.,Belgium,10263618,2000
19,179.,Belize,248004,2000
20,96.,Benin,6619120,2000
21,203.,Bermuda,63061,2000
22,164.,Bhutan,605872,2000
23,87.,Bolivia,8195101,2000
24,119.,Bosnia and Herzegovina,4035457,2000
25,147.,Botswana,1679680,2000
26,5.,Brazil,176319616,2000
27,217.,British Virgin Islands,22509,2000
28,174.,Brunei,325297,2000
29,90.,Bulgaria,7818495,2000
30,67.,Burkina Faso,11587750,2000
31,94.,Burundi,6822700,2000
32,64.,Cambodia,12351152,2000
33,60.,Cameroon,15343036,2000
34,34.,Canada,31099560,2000
35,171.,Cape Verde,430132,2000
36,210.,Cayman Islands,38436,2000
37,120.,Central African Republic,3979862,2000
38,89.,Chad,7942675,2000
39,195.,Channel Islands,87379,2000
40,61.,Chile,15155741,2000
41,1.,China,1263637504,2000
42,29.,Colombia,38910344,2000
43,165.,Comoros,545143,2000
44,220.,Cook Islands,16307,2000
45,121.,Costa Rica,3882581,2000
46,55.,Cote d'Ivoire,16884578,2000
47,114.,Croatia,4410830,2000
48,69.,Cuba,11071849,2000
49,156.,Cyprus,919680,2000
50,75.,Czech Republic,10270128,2000
51,23.,Democratic Republic of the Congo,52445196,2000
52,104.,Denmark,5337416,2000
53,161.,Djibouti,669416,2000
54,200.,Dominica,70818,2000
55,82.,Dominican Republic,8468914,2000
56,157.,East Timor,847141,2000
57,63.,Ecuador,12445838,2000
58,17.,Egypt,65158548,2000
59,100.,El Salvador,5849822,2000
60,166.,Equatorial Guinea,491483,2000
61,116.,Eritrea,4197310,2000
62,148.,Estonia,1379835,2000
63,18.,Ethiopia,64164964,2000
64,208.,Faroe Islands,45794,2000
65,191.,Federated States of Micronesia,107724,2000
66,158.,Fiji,804933,2000
67,105.,Finland,5168595,2000
68,20.,France,61136524,2000
69,180.,French Polynesia,235868,2000
70,152.,Gabon,1236429,2000
71,155.,Gaza Strip,1130438,2000
72,111.,Georgia,4777209,2000
73,12.,Germany,82183672,2000
74,50.,Ghana,19751620,2000
75,215.,Gibraltar,27274,2000
76,72.,Greece,10559110,2000
77,206.,Greenland,56890,2000
78,192.,Grenada,101609,2000
79,185.,Guam,155324,2000
80,68.,Guatemala,11085025,2000
81,204.,Guernsey,61949,2000
82,86.,Guinea,8350413,2000
83,150.,Guinea-Bissau,1278859,2000
84,159.,Guyana,785564,2000
85,84.,Haiti,8412886,2000
86,97.,Honduras,6359396,2000
87,95.,Hong Kong,6658720,2000
88,77.,Hungary,10147425,2000
89,177.,Iceland,281043,2000
90,2.,India,1006300288,2000
91,4.,Indonesia,213829472,2000
92,15.,Iran,68631552,2000
93,45.,Iraq,22679080,2000
94,122.,Ireland,3822196,2000
95,198.,Isle of Man,75703,2000
96,99.,Israel,6114570,2000
97,22.,Italy,57784372,2000
98,135.,Jamaica,2615632,2000
99,9.,Japan,126775616,2000
100,112.,Jordan,4687620,2000
101,59.,Kazakhstan,15687251,2000
102,35.,Kenya,30605900,2000
103,196.,Kiribati,85121,2000
104,146.,Kosovo,1700132,2000
105,143.,Kuwait,1972259,2000
106,109.,Kyrgyzstan,4851054,2000
107,103.,Laos,5397406,2000
108,139.,Latvia,2376178,2000
109,126.,Lebanon,3791495,2000
110,144.,Lesotho,1916324,2000
111,136.,Liberia,2600668,2000
112,106.,Libya,5125443,2000
113,211.,Liechtenstein,32748,2000
114,127.,Lithuania,3654387,2000
115,168.,Luxembourg,438777,2000
116,170.,Macau,431739,2000
117,140.,Macedonia,2014512,2000
118,58.,Madagascar,15741942,2000
119,66.,Malawi,11801505,2000
120,43.,Malaysia,23151284,2000
121,175.,Maldives,299981,2000
122,71.,Mali,10620821,2000
123,172.,Malta,389947,2000
124,207.,Marshall Islands,53072,2000
125,137.,Mauritania,2500867,2000
126,153.,Mauritius,1185932,2000
127,184.,Mayotte,156542,2000
128,11.,Mexico,99926624,2000
129,117.,Moldova,4180215,2000
130,212.,Monaco,31856,2000
131,134.,Mongolia,2663757,2000
132,160.,Montenegro,732302,2000
133,228.,Montserrat,3951,2000
134,37.,Morocco,28113036,2000
135,53.,Mozambique,17996792,2000
136,25.,Myanmar,47438868,2000
137,145.,Namibia,1893442,2000
138,224.,Nauru,9861,2000
139,40.,Nepal,24818162,2000
140,57.,Netherlands,15930181,2000
141,188.,Netherlands Antilles,133956,2000
142,181.,New Caledonia,211189,2000
143,125.,New Zealand,3802400,2000
144,108.,Nicaragua,4866172,2000
145,70.,Niger,10951428,2000
146,10.,Nigeria,124207288,2000
147,44.,North Korea,22784968,2000
148,201.,Northern Mariana Islands,69706,2000
149,113.,Norway,4492400,2000
150,138.,Oman,2432376,2000
151,6.,Pakistan,152429040,2000
152,218.,Palau,19492,2000
153,133.,Panama,2899513,2000
154,110.,Papua New Guinea,4812791,2000
155,101.,Paraguay,5418241,2000
156,38.,Peru,25796956,2000
157,13.,Philippines,81222080,2000
158,30.,Poland,38654164,2000
159,74.,Portugal,10335597,2000
160,123.,Puerto Rico,3814413,2000
161,163.,Qatar,639905,2000
162,131.,Republic of Congo,3103941,2000
163,47.,Romania,22447352,2000
164,7.,Russia,146709968,2000
165,85.,Rwanda,8398413,2000
166,226.,Saint Barthélemy,7122,2000
167,225.,Saint Helena,7230,2000
168,209.,Saint Kitts and Nevis,45658,2000
169,186.,Saint Lucia,153302,2000
170,214.,Saint Martin,28384,2000
171,227.,Saint Pierre and Miquelon,6409,2000
172,190.,Saint Vincent and the Grenadines,107861,2000
173,183.,Samoa,176209,2000
174,216.,San Marino,27079,2000
175,187.,Sao Tome and Principe,140687,2000
176,49.,Saudi Arabia,21311904,2000
177,80.,Senegal,9469281,2000
178,91.,Serbia,7604335,2000
179,197.,Seychelles,79158,2000
180,124.,Sierra Leone,3809058,2000
