,rank,country,population,year
180,121.,Sierra Leone,4043412,2001
181,117.,Singapore,4169481,2001
182,213.,Sint Maarten,30453,2001
183,103.,Slovakia,5404681,2001
184,143.,Slovenia,2011179,2001
185,168.,Solomon Islands,445906,2001
186,90.,Somalia,7765774,2001
187,27.,South Africa,45576216,2001
188,26.,South Korea,47177812,2001
189,28.,Spain,41046896,2001
190,52.,Sri Lanka,19263056,2001
191,32.,Sudan,35024488,2001
192,167.,Suriname,471851,2001
193,155.,Swaziland,1169520,2001
194,81.,Sweden,8939915,2001
195,93.,Switzerland,7311237,2001
196,56.,Syria,16885070,2001
197,48.,Taiwan,22335804,2001
198,98.,Tajikistan,6339104,2001
199,33.,Tanzania,34567248,2001
200,19.,Thailand,62380072,2001
201,176.,The Bahamas,285685,2001
202,148.,The Gambia,1393296,2001
203,107.,Togo,5134565,2001
204,193.,Tonga,100796,2001
205,152.,Trinidad and Tobago,1249053,2001
206,80.,Tunisia,9609570,2001
207,16.,Turkey,68404904,2001
208,114.,Turkmenistan,4444584,2001
209,218.,Turks and Caicos Islands,20215,2001
210,223.,Tuvalu,10045,2001
211,189.,U.S. Virgin Islands,108746,2001
212,41.,Uganda,24690002,2001
213,24.,Ukraine,48507924,2001
214,128.,United Arab Emirates,3387327,2001
215,21.,United Kingdom,59374728,2001
216,3.,United States of America,285081568,2001
217,130.,Uruguay,3231191,2001
218,39.,Uzbekistan,25372376,2001
219,182.,Vanuatu,193171,2001
220,42.,Venezuela,23843874,2001
221,14.,Vietnam,80209472,2001
222,221.,Wallis and Futuna,14764,2001
223,140.,West Bank,2033930,2001
224,173.,Western Sahara,351692,2001
225,54.,Yemen,17970540,2001
226,72.,Zambia,10646096,2001
227,67.,Zimbabwe,11867855,2001
