,rank,country,population,year
0,40.,Afghanistan,31822848,2014
1,136.,Albania,3020209,2014
2,36.,Algeria,36231008,2014
3,204.,American Samoa,69733,2014
4,200.,Andorra,85458,2014
5,59.,Angola,19088106,2014
6,220.,Anguilla,16086,2014
7,198.,Antigua and Barbuda,91295,2014
8,33.,Argentina,43024376,2014
9,137.,Armenia,2978749,2014
10,189.,Aruba,110663,2014
11,55.,Australia,22507616,2014
12,93.,Austria,8223062,2014
13,89.,Azerbaijan,9686210,2014
14,155.,Bahrain,1314089,2014
15,8.,Bangladesh,166280704,2014
16,179.,Barbados,289680,2014
17,90.,Belarus,9473642,2014
18,82.,Belgium,10449361,2014
19,176.,Belize,340844,2014
20,85.,Benin,10160556,2014
21,203.,Bermuda,69839,2014
22,164.,Bhutan,733643,2014
23,81.,Bolivia,10631486,2014
24,122.,Bosnia and Herzegovina,4620497,2014
25,143.,Botswana,2155784,2014
26,5.,Brazil,210174032,2014
27,215.,British Virgin Islands,32680,2014
28,173.,Brunei,422675,2014
29,101.,Bulgaria,6924716,2014
30,60.,Burkina Faso,18365124,2014
31,76.,Burundi,11227049,2014
32,67.,Cambodia,15458332,2014
33,58.,Cameroon,20968598,2014
34,37.,Canada,34834840,2014
35,171.,Cape Verde,538535,2014
36,207.,Cayman Islands,54914,2014
37,115.,Central African Republic,5277959,2014
38,75.,Chad,11412107,2014
39,196.,Channel Islands,96513,2014
40,63.,Chile,17301704,2014
41,1.,China,1355692544,2014
42,29.,Colombia,46245296,2014
43,162.,Comoros,766865,2014
44,223.,Cook Islands,10134,2014
45,119.,Costa Rica,4755234,2014
46,53.,Cote d'Ivoire,22848944,2014
47,124.,Croatia,4470534,2014
48,77.,Cuba,11047251,2014
49,159.,Cyprus,1172458,2014
50,86.,Czech Republic,10147013,2014
51,19.,Democratic Republic of the Congo,77433744,2014
52,112.,Denmark,5569077,2014
53,161.,Djibouti,810179,2014
54,201.,Dominica,73449,2014
55,84.,Dominican Republic,10349741,2014
56,157.,East Timor,1248440,2014
57,66.,Ecuador,15654411,2014
58,15.,Egypt,86895096,2014
59,107.,El Salvador,6125512,2014
60,165.,Equatorial Guinea,722254,2014
61,106.,Eritrea,6380803,2014
62,156.,Estonia,1257921,2014
63,13.,Ethiopia,99943392,2014
64,209.,Faroe Islands,49947,2014
65,193.,Federated States of Micronesia,105681,2014
66,160.,Fiji,903207,2014
67,116.,Finland,5268799,2014
68,21.,France,66021744,2014
69,180.,French Polynesia,280026,2014
70,152.,Gabon,1672597,2014
71,150.,Gaza Strip,1816379,2014
72,123.,Georgia,4540636,2014
73,17.,Germany,80996688,2014
74,47.,Ghana,26139818,2014
75,218.,Gibraltar,29185,2014
76,80.,Greece,10775557,2014
77,206.,Greenland,57728,2014
78,190.,Grenada,110152,2014
79,186.,Guam,190353,2014
80,70.,Guatemala,14647083,2014
81,205.,Guernsey,65849,2014
82,74.,Guinea,11474383,2014
83,151.,Guinea-Bissau,1693398,2014
84,163.,Guyana,738799,2014
85,87.,Haiti,9996731,2014
86,92.,Honduras,8598561,2014
87,98.,Hong Kong,7210050,2014
88,88.,Hungary,9919128,2014
89,178.,Iceland,317351,2014
90,2.,India,1236344576,2014
91,4.,Indonesia,253289984,2014
92,18.,Iran,80840712,2014
93,39.,Iraq,32585692,2014
94,118.,Ireland,4832765,2014
95,199.,Isle of Man,86866,2014
96,95.,Israel,7821850,2014
97,23.,Italy,61680120,2014
98,138.,Jamaica,2930050,2014
99,10.,Japan,127103392,2014
100,105.,Jordan,6528061,2014
101,62.,Kazakhstan,17948816,2014
102,31.,Kenya,45010056,2014
103,194.,Kiribati,104488,2014
104,149.,Kosovo,1859203,2014
105,139.,Kuwait,2742711,2014
106,109.,Kyrgyzstan,5831218,2014
107,102.,Laos,6803699,2014
108,142.,Latvia,2165165,2014
109,126.,Lebanon,4136895,2014
110,147.,Lesotho,1942008,2014
111,127.,Liberia,4092310,2014
112,100.,Libya,7000847,2014
113,213.,Liechtenstein,37313,2014
114,132.,Lithuania,3505738,2014
115,172.,Luxembourg,520672,2014
116,168.,Macau,587914,2014
117,145.,Macedonia,2091719,2014
118,51.,Madagascar,23948180,2014
119,64.,Malawi,17241754,2014
120,43.,Malaysia,30073352,2014
121,175.,Maldives,393595,2014
122,68.,Mali,15312320,2014
123,174.,Malta,412655,2014
124,202.,Marshall Islands,70983,2014
125,131.,Mauritania,3516806,2014
126,154.,Mauritius,1331155,2014
127,183.,Mayotte,217909,2014
128,11.,Mexico,117459368,2014
129,130.,Moldova,3583288,2014
130,217.,Monaco,30508,2014
131,134.,Mongolia,3272555,2014
132,166.,Montenegro,650036,2014
133,228.,Montserrat,5215,2014
134,38.,Morocco,32987206,2014
135,50.,Mozambique,24692144,2014
136,24.,Myanmar,55746252,2014
137,141.,Namibia,2198406,2014
138,224.,Nauru,9488,2014
139,41.,Nepal,30986976,2014
140,65.,Netherlands,16877352,2014
141,188.,Netherlands Antilles,147695,2014
142,181.,New Caledonia,267840,2014
143,125.,New Zealand,4401916,2014
